comment,full_comment,negative,neutral,positive,compound,sentiment
🎬🎬 BEST ACTOR | And the Oscar goes to... Timothée Chalamet. Impossível ele não ganhar o Oscar de Mel...,"🎬🎬 BEST ACTOR | And the Oscar goes to... Timothée Chalamet. Impossível ele não ganhar o Oscar de Melhor Ator este ano. Uma interpretação simplesmente visceral no filme ""Marty Supreme"". Chalamet se jogou de corpo e alma nesse filme. Performance arrebatadora. O ator entrega a melhor atuação da carreira no ótimo ‘Marty Supreme’. Não vai ter pra ninguém. Filme para ser visto na telona do cinema. Trilha sonora digna de Oscar. Abrindo o filme a linda música ""Forever Young"" (Alphaville).",0.048,0.859,0.093,0.7297,Positive
Saw it today ..... frenetic at best . They threw everything at it and it still didnt hit where it sh...,Saw it today ..... frenetic at best . They threw everything at it and it still didnt hit where it should have. Good acting Id say but not oscar worthy in my humble opinion. Not something id see again.,0.071,0.825,0.104,0.1131,Positive
omg walking the car i remember when that was a trend,omg walking the car i remember when that was a trend,0.0,1.0,0.0,0.0,Neutral
"Hemos visto la película Marty Supreme y no es una historia basada en la vida real, como se supondría...","Hemos visto la película Marty Supreme y no es una historia basada en la vida real, como se supondría. La reseña habla de ganar un campeonato a los 67 años y la película termina cuando nació su hijo negado, toda la película y sin participar en el mencionado campeonato a los 67 años.

Es más una obra ficcionada sobre el desastre de la vida del protagonista.


Queda un sin sabor, respecto a la locura humana que usa a las personas como medio para lograr salirse con la suya, con mentiras y engaños que cobran la vida de personas, mostrando un gran desequilibrio del personaje principal y sus amistades.
👎🏽👎🏼👎🏾",0.071,0.902,0.027,-0.7003,Negative
"Hemos visto la película Marty Supreme y no es una historia basada en la vida real, como se supondría...","Hemos visto la película Marty Supreme y no es una historia basada en la vida real, como se supondría. La reseña habla de ganar un campeonato a los 67 años y la película termina cuando nació su hijo negado, toda la película y sin participar en el mencionado campeonato a los 67 años.

Es más una obra ficcionada sobre el desastre de la vida del protagonista.


Queda un sin sabor, respecto a la locura humana que usa a las personas como medio para lograr salirse con la suya, con mentiras y engaños que cobran la vida de personas, mostrando un gran desequilibrio del personaje principal y sus amistades.
👎🏽👎🏼👎🏾👎🏻",0.069,0.905,0.026,-0.7003,Negative
Who's here after Marty supreme got nominated for the Oscars...,Who's here after Marty supreme got nominated for the Oscars...,0.0,0.714,0.286,0.5574,Positive
Such bombastic music🙄,Such bombastic music🙄,0.0,1.0,0.0,0.0,Neutral
"I watched this today, and it's not that good how they are portraying. I mean from acting to directio...","I watched this today, and it's not that good how they are portraying. I mean from acting to direction everything is pure mid. And the poster is copied from Wong Kar Wai fallen angel.",0.133,0.867,0.0,-0.6002,Negative
"gonna watch this just for the mr. no mercy ""Kevin O'Leary""","gonna watch this just for the mr. no mercy ""Kevin O'Leary""",0.174,0.826,0.0,-0.2755,Negative
Do we really need dews shoved in our face constantly. Especially right now when the dew state is doi...,Do we really need dews shoved in our face constantly. Especially right now when the dew state is doing a jenosyyde. Now is a bad time. And give some other groups the spotlight for a change. There's plenty of other groups out there that haven't been given much time on screen. For effs sake,0.062,0.938,0.0,-0.5423,Negative
Looks like a boring movie,Looks like a boring movie,0.295,0.385,0.321,0.0516,Positive
Anybody the song name please?,Anybody the song name please?,0.0,0.635,0.365,0.3182,Positive
Looks super boring …. Good actors though .,Looks super boring …. Good actors though .,0.163,0.355,0.482,0.6705,Positive
Never knew a movie ft Tyler could be THIS Serious! PEAK,Never knew a movie ft Tyler could be THIS Serious! PEAK,0.143,0.857,0.0,-0.1697,Negative
super average movie ; not worth the 2+ hours,super average movie ; not worth the 2+ hours,0.133,0.557,0.31,0.4997,Positive
"its shit
dont watch it .harsh Tripathi said it was a a 3 from nmims ib Bombay 2025/ Kingston 2026
it...","its shit
dont watch it .harsh Tripathi said it was a a 3 from nmims ib Bombay 2025/ Kingston 2026
its a waste of money",0.208,0.714,0.078,-0.6116,Negative
"this movie is absolutely insane. you have to experience it in a theater. 
It reminded me of the leve...","this movie is absolutely insane. you have to experience it in a theater. 
It reminded me of the level of tension I felt watching The Lighthouse — except that movie almost drove me crazy, and this one made me walk out wanting to become a gangster table tennis player.",0.139,0.861,0.0,-0.7528,Negative
Chalamet seems to have based his physical appearance on Robert Crumb.,Chalamet seems to have based his physical appearance on Robert Crumb.,0.0,1.0,0.0,0.0,Neutral
I almost had a heart attack watching this film,I almost had a heart attack watching this film,0.221,0.499,0.28,0.2111,Positive
Filme muito ruim!,Filme muito ruim!,0.0,1.0,0.0,0.0,Neutral
Where’s Martin 😹🙄,Where’s Martin 😹🙄,0.121,0.637,0.242,0.4404,Positive
Who is here after poolachokka review? ❤,Who is here after poolachokka review? ❤,0.0,0.625,0.375,0.6369,Positive
So he robs banks to support himself to become a pro ping pong player?,So he robs banks to support himself to become a pro ping pong player?,0.182,0.667,0.15,-0.1477,Negative
He looks like baby no money,He looks like baby no money,0.253,0.46,0.287,0.0772,Positive
Himmler playing tennis table,Himmler playing tennis table,0.0,0.625,0.375,0.2023,Positive
"I went to theatres with 0 expectations and I swear this movie blew my mind!! It's weird, amazing, fu...","I went to theatres with 0 expectations and I swear this movie blew my mind!! It's weird, amazing, funny afff, goofy, adrenaline rush in some scenes 
A total package!! Loved it 😂😂❤",0.105,0.519,0.375,0.9688,Positive
بيض اوووى,بيض اوووى,0.0,1.0,0.0,0.0,Neutral
"Me in the theatre: ""Why are there frog sounds over this song? 😂""","Me in the theatre: ""Why are there frog sounds over this song? 😂""",0.092,0.725,0.184,0.4404,Positive
Good music Tears for Fears,Good music Tears for Fears,0.49,0.208,0.302,-0.2023,Negative
0:14 the staff room every lunch time,0:14 the staff room every lunch time,0.0,1.0,0.0,0.0,Neutral
Sadly a pretty crap film.,Sadly a pretty crap film.,0.509,0.189,0.302,-0.296,Negative
"ohmygod, you cast slimeball Kevin OLeary in this??? What you needed a huge slimeball character and n...","ohmygod, you cast slimeball Kevin OLeary in this??? What you needed a huge slimeball character and no actor could play one as well as Kevin? SKUZ",0.069,0.688,0.243,0.6767,Positive
"remember people bet on the superbowl 
PORN:
‘ HUSSEL ‘
How are you ever sapost to make money off of ...","remember people bet on the superbowl 
PORN:
‘ HUSSEL ‘
How are you ever sapost to make money off of ping pong ??
“ it’s no balls of fury “
&
they sure do lang these days!!
END
 .
remember
rugby started somewhere
And.. !
we do do sonar
UV",0.126,0.833,0.041,-0.7037,Negative
"The aesthetics of emptiness. 
I saw the movie. What was all that genius acting and writing for? It i...","The aesthetics of emptiness. 
I saw the movie. What was all that genius acting and writing for? It is a movie for critics and prizes, not for people.",0.154,0.755,0.091,-0.2732,Negative
"Watched today…this movie got no story, just randomly  he does anything.. the end of the movie is wor...","Watched today…this movie got no story, just randomly  he does anything.. the end of the movie is worst, he achieved nothing at all… so boring",0.297,0.703,0.0,-0.8516,Negative
Was that Mr. wonderful?,Was that Mr. wonderful?,0.0,0.448,0.552,0.5719,Positive
Table tennis 🏓 * not ping pong,Table tennis 🏓 * not ping pong,0.0,1.0,0.0,0.0,Neutral
It was a nonsense movie,It was a nonsense movie,0.403,0.597,0.0,-0.4019,Negative
Why is there an 1980s song in the trailer for a movie that takes place in the 1950s? Weird choice.,Why is there an 1980s song in the trailer for a movie that takes place in the 1950s? Weird choice.,0.082,0.918,0.0,-0.1779,Negative
Directly came here from Indian express newspaper,Directly came here from Indian express newspaper,0.0,1.0,0.0,0.0,Neutral
Movie is actually really good,Movie is actually really good,0.0,0.556,0.444,0.4927,Positive
This movie was sooo terrible,This movie was sooo terrible,0.437,0.563,0.0,-0.4767,Negative
The LISAN - AL PING!,The LISAN - AL PING!,0.0,1.0,0.0,0.0,Neutral
One of the most finest...tense movie I've ever watched...more tense than uncut gems,One of the most finest...tense movie I've ever watched...more tense than uncut gems,0.167,0.833,0.0,-0.34,Negative
obra maestra. La acabo de ver e iré a verla nuevamente. Lo que hace el actor es sublime en toda la p...,"obra maestra. La acabo de ver e iré a verla nuevamente. Lo que hace el actor es sublime en toda la película. El guión es arrasador no te deja respiro tiene un ritmo que hace que te subas desde el primer instante.
No es un ritmo acelerado artificial.. tiene el pulso de la ambición del protagonista que te contagia. La actuación de este muchacho es emocionante me hizo acordar al Robert De Niro de "" Malas calles"" o al de "" Taxi driver"" o "" New York New York"" lleno de vena y energía. También tiene esa chispa del Pacino joven de "" Serpico"" y de "" Tarde de perros"" o al Gene Hackman de "" Contacto en Francia"" una actuación verdadera con sangre en las venas que remite a esos actores de los Setenta",0.032,0.968,0.0,-0.5267,Negative
meh a movie about ping pong? not in my list,meh a movie about ping pong? not in my list,0.126,0.874,0.0,-0.0772,Negative
The cast is  just amazing ❤,The cast is  just amazing ❤,0.0,0.385,0.615,0.8402,Positive
Cant believe this movie is based on table tennis😂,Cant believe this movie is based on table tennis😂,0.107,0.678,0.215,0.4404,Positive
Great actor Timothee❤❤,Great actor Timothee❤❤,0.0,0.242,0.758,0.926,Positive
How is this movie,How is this movie,0.0,1.0,0.0,0.0,Neutral
Here because of Tyler. 🐐,Here because of Tyler. 🐐,0.0,1.0,0.0,0.0,Neutral
Nice to have a film on one of the most underrated sports table tennis,Nice to have a film on one of the most underrated sports table tennis,0.0,0.823,0.177,0.4215,Positive
Dream big...,Dream big...,0.0,0.333,0.667,0.25,Positive
The music and sound fx are wayyy too loud. Who mixed this?,The music and sound fx are wayyy too loud. Who mixed this?,0.0,1.0,0.0,0.0,Neutral
So Supreme It's Marty,So Supreme It's Marty,0.0,0.435,0.565,0.5984,Positive
This was a surprisingly excellent movie.,This was a surprisingly excellent movie.,0.0,0.404,0.596,0.7096,Positive
tyler OKONMA 🥹,tyler OKONMA 🥹,0.0,1.0,0.0,0.0,Neutral
1:28 Peter griffin from family guy,1:28 Peter griffin from family guy,0.0,1.0,0.0,0.0,Neutral
"It's a silly movie about table tennis. No aliens, no warfare, no espionage, no superhero's, no time ...","It's a silly movie about table tennis. No aliens, no warfare, no espionage, no superhero's, no time travel, no science fiction, no monsters etc. Then why the hell can't I wait to see it?",0.245,0.525,0.23,-0.5661,Negative
Nope……😂,Nope……😂,0.196,0.412,0.392,0.4404,Positive
Tyler 🥹✌️,Tyler 🥹✌️,0.0,1.0,0.0,0.0,Neutral
How was the movie more fast paced than the trailer,How was the movie more fast paced than the trailer,0.0,1.0,0.0,0.0,Neutral
2:15 wtf am I looking at??? 💀💀💀💀💀💀💀💀💀💀,2:15 wtf am I looking at??? 💀💀💀💀💀💀💀💀💀💀,0.224,0.776,0.0,-0.6531,Negative
Marty Supreme got 9 nominations including Best Picture. Timothée Chalamet is winning Best Actor 100%,Marty Supreme got 9 nominations including Best Picture. Timothée Chalamet is winning Best Actor 100%,0.0,0.417,0.583,0.9468,Positive
THIS TIMOTHY PRODUCED THIS MOVIE....ITS REALLY SUCKED...SKIP THIS PIECE OF SHIT...HE IS AWFUL,THIS TIMOTHY PRODUCED THIS MOVIE....ITS REALLY SUCKED...SKIP THIS PIECE OF SHIT...HE IS AWFUL,0.2,0.8,0.0,-0.4588,Negative
THIS MOVIE SUCKED...PLUS HE CANT ACTED....IT WAS TOTALLY AWFUL....SKIPPED THIS BORING MOVIE,THIS MOVIE SUCKED...PLUS HE CANT ACTED....IT WAS TOTALLY AWFUL....SKIPPED THIS BORING MOVIE,0.212,0.788,0.0,-0.4506,Negative
How this won best picture over Sinners I'll never know.,How this won best picture over Sinners I'll never know.,0.0,0.503,0.497,0.836,Positive
"Overhyped, just like Leonardo DiCaprio in Titanic.","Overhyped, just like Leonardo DiCaprio in Titanic.",0.0,0.706,0.294,0.3612,Positive
how tf did this trash win awards its trash,how tf did this trash win awards its trash,0.0,0.507,0.493,0.7783,Positive
Boring,Boring,1.0,0.0,0.0,-0.3182,Negative
🔥,🔥,1.0,0.0,0.0,-0.34,Negative
Tyler the creator love u,Tyler the creator love u,0.0,0.488,0.512,0.6369,Positive
8 ימים לפני יה,8 ימים לפני יה,0.0,1.0,0.0,0.0,Neutral
I love this movie,I love this movie,0.0,0.417,0.583,0.6369,Positive
This kid is so skinny and very hard to look at he needs 50 lbs and some muscles,This kid is so skinny and very hard to look at he needs 50 lbs and some muscles,0.091,0.909,0.0,-0.1761,Negative
R.I.P Marty Reisman.,R.I.P Marty Reisman.,0.0,1.0,0.0,0.0,Neutral
Even ted Williams in this movie,Even ted Williams in this movie,0.0,1.0,0.0,0.0,Neutral
Edad para verla con mis hijos,Edad para verla con mis hijos,0.0,1.0,0.0,0.0,Neutral
Tengo muchas expectativas quiero verla Ya 👍,Tengo muchas expectativas quiero verla Ya 👍,0.0,1.0,0.0,0.0,Neutral
Did i see a shark,Did i see a shark,0.0,1.0,0.0,0.0,Neutral
"""Im really in the pursuit of greatness""

Yes you are Timmy","""Im really in the pursuit of greatness""

Yes you are Timmy",0.0,0.787,0.213,0.4019,Positive
Whole premise is corny wow,Whole premise is corny wow,0.0,0.513,0.487,0.5859,Positive
グゥイネス、パルトロウ❤も出演なんですね😊楽しみ😊😊,グゥイネス、パルトロウ❤も出演なんですね😊楽しみ😊😊,0.0,0.4,0.6,0.9517,Positive
was that kevin o'leary making a cameo?,was that kevin o'leary making a cameo?,0.0,1.0,0.0,0.0,Neutral
Yea no,Yea no,0.688,0.312,0.0,-0.296,Negative
"this trailer is SO fcking misleading, holy shit","this trailer is SO fcking misleading, holy shit",0.548,0.452,0.0,-0.806,Negative
"Heres the deal on this film....It's NOT an inspiration Rocky type character, that's basically a real...","Heres the deal on this film....It's NOT an inspiration Rocky type character, that's basically a really good man that has to remain determined to achieve his dreams. No!  The lead character is human trash.  He's an immoral manipulator that cons people NONSTOP to get what he wants.  If you're interested in watching this for some kind of inspiration, in a Rocky type way, this isn't the film for you.  Is it technically good  with excellent acting/directing and entertaining soundtrack, yes.  

Because I was expecting a more typicall ""inspirational"" film, i was shocked that this isn't that.  I personally don't want to spend 2 hours watching an immoral hustler overcoming non stop nightmare type scenarios that he puts himself in due to his dumb choices.  I guess one redeeming quality of the film is that, in the script, the lead character has non stop problems and in the end, his outcome is far from ideal, so they don't glamorize deception.",0.127,0.691,0.182,0.9145,Positive
This crap is trash.,This crap is trash.,0.464,0.536,0.0,-0.3818,Negative
"after watching this, I still dont know what this is about","after watching this, I still dont know what this is about",0.0,1.0,0.0,0.0,Neutral
Not bothered about this American bs,Not bothered about this American bs,0.0,0.718,0.282,0.2411,Positive
Founder of Supreme,Founder of Supreme,0.0,0.357,0.643,0.5574,Positive
Overly dramatic life story as always,Overly dramatic life story as always,0.0,1.0,0.0,0.0,Neutral
"Don't you just hate all the idiots posting here who won't tell you the name of the movie?

""Marty Su...","Don't you just hate all the idiots posting here who won't tell you the name of the movie?

""Marty Supreme"" (2025).",0.0,0.742,0.258,0.7648,Positive
Bob Dylan,Bob Dylan,0.0,1.0,0.0,0.0,Neutral
"Oh my god! Tears for fears!!! 
I adore! The movie is tres worthy for free in YouTube with ads","Oh my god! Tears for fears!!! 
I adore! The movie is tres worthy for free in YouTube with ads",0.153,0.423,0.425,0.8544,Positive
Ok... its really ping pong...,Ok... its really ping pong...,0.0,1.0,0.0,0.0,Neutral
Balls of fury ? lol,Balls of fury ? lol,0.389,0.316,0.295,-0.2263,Negative
"Those who live their Dreams, actively pursue their Dreams. 🦉","Those who live their Dreams, actively pursue their Dreams. 🦉",0.0,0.476,0.524,0.7717,Positive
I wish i wasnt short. i would ve been confident and i know i would be an amazing actor. Everyone aro...,I wish i wasnt short. i would ve been confident and i know i would be an amazing actor. Everyone around me tell me to act but i dont feel confident and sexy bc of my height. Its depressing,0.135,0.65,0.216,0.4781,Positive
never even heard of this movie.....,never even heard of this movie.....,0.0,1.0,0.0,0.0,Neutral
"obra maestra, chalamet leyenda","obra maestra, chalamet leyenda",0.0,1.0,0.0,0.0,Neutral
I'm looking forward to its release in Japan!!!!!!!!🏓🏓🏓🏓,I'm looking forward to its release in Japan!!!!!!!!🏓🏓🏓🏓,0.0,1.0,0.0,0.0,Neutral
is this the story of hugo calderano?,is this the story of hugo calderano?,0.0,1.0,0.0,0.0,Neutral
Tylerrrrrr ❤❤,Tylerrrrrr ❤❤,0.0,0.263,0.737,0.8555,Positive
Amazing movie 🎬 so narcissist and willing to do anything Timothy is the future 🎉🎉🎉,Amazing movie 🎬 so narcissist and willing to do anything Timothy is the future 🎉🎉🎉,0.0,0.588,0.412,0.8979,Positive
"Must see this. It was highly recommended to me by a very picky, cynical friend.  I never heard of it...","Must see this. It was highly recommended to me by a very picky, cynical friend.  I never heard of it, and now i find out the magnificant Timothee Chalumet is in it! SCORE!  ❤",0.065,0.701,0.234,0.8158,Positive
Looks fun!,Looks fun!,0.0,0.218,0.782,0.5562,Positive
"Tears for Fears, recognized.","Tears for Fears, recognized.",0.701,0.299,0.0,-0.5719,Negative
"Pictures are great so bad it's just about ping pong. What's next? Lego? Then Cubes? Then what, blurp...","Pictures are great so bad it's just about ping pong. What's next? Lego? Then Cubes? Then what, blurps?",0.213,0.626,0.16,-0.3294,Negative
Pong pong player pulling baddies lol,Pong pong player pulling baddies lol,0.0,0.641,0.359,0.4215,Positive
