comment,full_comment,negative,neutral,positive,compound,sentiment
White man = bad,White man = bad,0.538,0.462,0.0,-0.5423,Negative
Best vampire movie I've ever seen 🤎,Best vampire movie I've ever seen 🤎,0.0,0.588,0.412,0.6369,Positive
This movie needs a prequel of Remmick,This movie needs a prequel of Remmick,0.0,1.0,0.0,0.0,Neutral
"The world, Americans aren't you tired of these kind of movies???!!! 

Join the real cinema! One day ...","The world, Americans aren't you tired of these kind of movies???!!! 

Join the real cinema! One day the world will wake up, Hollywood particularly.",0.0,0.777,0.223,0.7441,Positive
"This has 16 Oscar nominations ??? Well, call me skeptical, but I remember The Color Purple's fate......","This has 16 Oscar nominations ??? Well, call me skeptical, but I remember The Color Purple's fate... 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️",0.055,0.906,0.039,-0.163,Negative
I love this movie michael b. Jordan did amazing in this 🔥🔥🔥🔥🔥🔥🔥💫💫💫💫💫💫❤️❤️❤️❤️❤️,I love this movie michael b. Jordan did amazing in this 🔥🔥🔥🔥🔥🔥🔥💫💫💫💫💫💫❤️❤️❤️❤️❤️,0.511,0.344,0.145,-0.9217,Negative
That guy super cheesey in everything he does almost like he's trying to hard. Blahhhhhh,That guy super cheesey in everything he does almost like he's trying to hard. Blahhhhhh,0.072,0.615,0.313,0.6915,Positive
Late to the party but my husband and I just finished watching this movie. 2 mins into the movie my h...,Late to the party but my husband and I just finished watching this movie. 2 mins into the movie my husband tells me “this movie is about the blues music by just looking at the neck of the guitar his holding. This movies is going to be spiritual and there’s going to be a lot of symbolism” and over 2 hrs later he was right. He grew up  heavily involved in church….,0.0,0.975,0.025,0.2144,Positive
I have a feeling that all of these comments are from bots or blind people.,I have a feeling that all of these comments are from bots or blind people.,0.157,0.756,0.087,-0.296,Negative
K HAY,K HAY,0.0,1.0,0.0,0.0,Neutral
"The opening scene leading up to when we are first introduced to the twins, beautifully done.  We kne...","The opening scene leading up to when we are first introduced to the twins, beautifully done.  We knew they were going to really tell us a story.",0.0,0.875,0.125,0.5719,Positive
Wow.... Just watched it... WTF did I just watch :O,Wow.... Just watched it... WTF did I just watch :O,0.382,0.401,0.218,-0.434,Negative
Finally a movie which is original and unpredictable after so many years.,Finally a movie which is original and unpredictable after so many years.,0.0,0.827,0.173,0.3182,Positive
Who is watching this movie after record breaking Oscar nomination...,Who is watching this movie after record breaking Oscar nomination...,0.0,1.0,0.0,0.0,Neutral
Sinners ❤❤❤,Sinners ❤❤❤,0.0,0.241,0.759,0.9274,Positive
The devil has a huge attack against the black community. The attack on Christianity is an attack on ...,"The devil has a huge attack against the black community. The attack on Christianity is an attack on the black community. To glorify drinking , whoredom, adultery , smoking , witchcraft , and to portray the black Christian church as evil is a huge attack on the black community and the truth which is the Bible !",0.303,0.567,0.131,-0.9432,Negative
After saw 16 Oscar nominations I saw it on Prime Video and cannot believe this got such raves. The i...,After saw 16 Oscar nominations I saw it on Prime Video and cannot believe this got such raves. The idea of happy singing vampires with bloody mouths is bizarre and I got no emotional pull from any of the characters.,0.143,0.777,0.08,-0.2368,Negative
THIS MOVIE IS NOT EVEN WORTHY TO GET A NOMINATION ! GOOD ACTING FROM ALL BUT NOT WORTH ALL THIS HYPE...,"THIS MOVIE IS NOT EVEN WORTHY TO GET A NOMINATION ! GOOD ACTING FROM ALL BUT NOT WORTH ALL THIS HYPE !  INTERVIEW WITH A VAMPIRE WAS A MASTERPIECE , THIS FILM IS  JUST GENERIC VAMPIRE MOVIE  .... THE MUSIC IN THE FILM IS AMAZING !",0.077,0.661,0.262,0.9377,Positive
good movieeeeee <3,good movieeeeee <3,0.0,0.147,0.853,0.7003,Positive
one white person - and it's a chick.  I'm offended.,one white person - and it's a chick.  I'm offended.,0.182,0.818,0.0,-0.25,Negative
So ridiculously moronic. The light has gone out in the creative minds of the West. The enemy is winn...,So ridiculously moronic. The light has gone out in the creative minds of the West. The enemy is winning. Fight back with truth.,0.342,0.428,0.23,-0.6335,Negative
Just watched this and my jaw is still on the floor. Best film I've seen in a long time.,Just watched this and my jaw is still on the floor. Best film I've seen in a long time.,0.0,0.811,0.189,0.6369,Positive
This film is like no other.,This film is like no other.,0.253,0.46,0.287,0.0772,Positive
This is a brilliant movie.,This is a brilliant movie.,0.0,0.513,0.487,0.5859,Positive
I never saw the movie and never will but from everything I read about it it only made me want to wat...,I never saw the movie and never will but from everything I read about it it only made me want to watch From Dusk Till Dawn again.,0.0,0.947,0.053,0.1154,Positive
"Really worth an Academy Award? Dune, West Side Story, The Power of the Dog, Greenbook, 12 years a sl...","Really worth an Academy Award? Dune, West Side Story, The Power of the Dog, Greenbook, 12 years a slave, No Country for old men, Crash",0.155,0.665,0.18,0.2006,Positive
It is just an ordinary movie but I dont feel anything it deserve oscar awards where there is more be...,It is just an ordinary movie but I dont feel anything it deserve oscar awards where there is more best movies out there. Oscar is worst.,0.145,0.591,0.263,0.6798,Positive
"Thank you for not showing us the entire movie!!  Now I ""want"" to watch it!!","Thank you for not showing us the entire movie!!  Now I ""want"" to watch it!!",0.0,0.724,0.276,0.6083,Positive
I’ve never watched this movie .. I came to see what’s it’s about,I’ve never watched this movie .. I came to see what’s it’s about,0.0,1.0,0.0,0.0,Neutral
"How does this get 16 oscar nominations, kinda like From Dusk Till Dawn","How does this get 16 oscar nominations, kinda like From Dusk Till Dawn",0.0,0.845,0.155,0.2975,Positive
meh,meh,1.0,0.0,0.0,-0.0772,Negative
movie about black vampires.. 😂😂,movie about black vampires.. 😂😂,0.178,0.467,0.355,0.7003,Positive
16 nominations!!!!!!!!!!!,16 nominations!!!!!!!!!!!,0.0,1.0,0.0,0.0,Neutral
16 Oscar nominations,16 Oscar nominations,0.0,1.0,0.0,0.0,Neutral
It's like a scary movie 😮,It's like a scary movie 😮,0.252,0.551,0.197,-0.1779,Negative
"Lolol i Saw that, i don't understand why nomenated for 16 😂 see midnight mass, this copies so much o...","Lolol i Saw that, i don't understand why nomenated for 16 😂 see midnight mass, this copies so much of that, not original",0.122,0.758,0.12,0.2354,Positive
The most Oscar nominated film in history with 16 nominations. Congratulations Sinners ❤,The most Oscar nominated film in history with 16 nominations. Congratulations Sinners ❤,0.0,0.597,0.403,0.8442,Positive
soooo goooood,soooo goooood,0.0,1.0,0.0,0.0,Neutral
S 25 😊gf D R M DKC dkaa dkasad,S 25 😊gf D R M DKC dkaa dkasad,0.0,0.647,0.353,0.7184,Positive
Pass…,Pass…,0.0,1.0,0.0,0.0,Neutral
Great to see trailer of a movie with 16 category nomination in oscar history,Great to see trailer of a movie with 16 category nomination in oscar history,0.0,0.76,0.24,0.6249,Positive
"Congrats to Ryan Coogler, Michael B Jordan and the rest of the cast and crew for 16 nominations for ...","Congrats to Ryan Coogler, Michael B Jordan and the rest of the cast and crew for 16 nominations for the Academy Awards this is my favorite horror movie in 2025 and it is masterpiece 👏🏾👏🏾 if they don’t win it’s always evolution 🔥🔥",0.12,0.636,0.244,0.8689,Positive
"Another crappy movie blaming the Whites for the lack of progression in the Black Community, where is...","Another crappy movie blaming the Whites for the lack of progression in the Black Community, where is the Movie Thanking White Entrepreneur's for creating the ultimate in comfort, travel efficiency, income, food assistance, music production, homesteads, civil rights and employment opportunities. Have you seen what's going on in Africa lately ?????, even though your gratitude remains hidden = YOUR WELCOME",0.117,0.655,0.228,0.8268,Positive
What’s the movie,What’s the movie,0.0,1.0,0.0,0.0,Neutral
Why so many movies based around violence and crime?  I'm checking out.,Why so many movies based around violence and crime?  I'm checking out.,0.432,0.568,0.0,-0.8225,Negative
not since Silence of the Lambs has a horror movie impacted the Oscars this much.,not since Silence of the Lambs has a horror movie impacted the Oscars this much.,0.209,0.791,0.0,-0.5719,Negative
"Meanwhile, some of the nominations of the 2000 (1 year) Oscars: American Beauty, Being John Malkovic...","Meanwhile, some of the nominations of the 2000 (1 year) Oscars: American Beauty, Being John Malkovich, Fight Club, Matrix. Magnolia, The Talented Mister Rippley (remake), Girl Interrupted, Green Mile, Sleepy Hollow, the Insider, Sixth Sense .... ... yeah :)))! fk YEA",0.095,0.714,0.19,0.6996,Positive
From dusk till dawn  movie remixed 💯👍🏿👍🏿,From dusk till dawn  movie remixed 💯👍🏿👍🏿,0.0,1.0,0.0,0.0,Neutral
👎👎👎👎👎👎👎,👎👎👎👎👎👎👎,0.0,1.0,0.0,0.0,Neutral
This is the first film to ever be nominated for 16 Oscars!,This is the first film to ever be nominated for 16 Oscars!,0.0,1.0,0.0,0.0,Neutral
16 Oscar nomination after watch movie😎,16 Oscar nomination after watch movie😎,0.0,0.75,0.25,0.4588,Positive
Who are here to watch after 16 Oscar Nominations,Who are here to watch after 16 Oscar Nominations,0.0,1.0,0.0,0.0,Neutral
"16 Oscar nominations? What an absolute joke. 

DEI awards at best.","16 Oscar nominations? What an absolute joke. 

DEI awards at best.",0.0,0.46,0.54,0.8555,Positive
The only reason that I want to watch this movie is to see if it's worth being nominated for 16 oscar...,The only reason that I want to watch this movie is to see if it's worth being nominated for 16 oscars.,0.0,0.856,0.144,0.296,Positive
Yup and well deserved. Don't worry it's going to take some home . I hope they put The King Bobby Rus...,Yup and well deserved. Don't worry it's going to take some home . I hope they put The King Bobby Rush on stage playing  Music from Sinners . Shout out to Bobby  Rush you're the best !,0.0,0.7,0.3,0.9135,Positive
This film has got 16 nominations more than Titanic 14,This film has got 16 nominations more than Titanic 14,0.0,1.0,0.0,0.0,Neutral
Congratulations to Michael B Jordan and the whole sinners cast on their Oscar nominations 🎉🎉🎉 I was ...,Congratulations to Michael B Jordan and the whole sinners cast on their Oscar nominations 🎉🎉🎉 I was hoping Hailee would get one too but aww well ❤️ well done and Ryan Coogler for Directing Sinners 🎊🎊,0.0,0.714,0.286,0.9042,Positive
Who’s here after 16 nominations in Oscar?,Who’s here after 16 nominations in Oscar?,0.0,1.0,0.0,0.0,Neutral
Possibly the most original movie to come along since the shawshank redemption looks phenomenal!!!,Possibly the most original movie to come along since the shawshank redemption looks phenomenal!!!,0.0,0.789,0.211,0.5376,Positive
"Sinners is like a spoon full of sugar! You get a history lesson with a fun story, black people final...","Sinners is like a spoon full of sugar! You get a history lesson with a fun story, black people finally get their own vampire movie. Oscars for the table. What about Steinfeld’s performance, she was amazing.",0.0,0.769,0.231,0.8718,Positive
Doesn't look like a great movie .. Why was the film nominated for Oscars?!!,Doesn't look like a great movie .. Why was the film nominated for Oscars?!!,0.112,0.639,0.249,0.5535,Positive
didn'r understand what it was about. o well,didn'r understand what it was about. o well,0.0,0.769,0.231,0.2732,Positive
Who’s here after learning Sinners is now the Most Oscar Nominated Movie of all time! 16 Noms and I h...,Who’s here after learning Sinners is now the Most Oscar Nominated Movie of all time! 16 Noms and I hope it wins DOUBLE DIGITS!,0.0,0.754,0.246,0.8011,Positive
This has like a lot of nominations for a Grammy .. wow oh wee,This has like a lot of nominations for a Grammy .. wow oh wee,0.0,0.656,0.344,0.743,Positive
looks kinda boring. is this about some racial commentary?,looks kinda boring. is this about some racial commentary?,0.201,0.799,0.0,-0.2516,Negative
"Oh look, A horror movie that has been nominated for the most awards ever. Let me think why that may ...","Oh look, A horror movie that has been nominated for the most awards ever. Let me think why that may be...............",0.142,0.731,0.127,-0.1045,Negative
The only thing holding Marvel back from making more Blade movies is vampires and racism.,The only thing holding Marvel back from making more Blade movies is vampires and racism.,0.206,0.653,0.141,-0.3182,Negative
Oh my Lort!! 😮 Lemee tell ya something. I don't watch too many new(ish) movies. They don't interest ...,"Oh my Lort!! 😮 Lemee tell ya something. I don't watch too many new(ish) movies. They don't interest me much. I heard a vague reference to this movie by Coffee with Carlos on The Stephanie Miller Show, searched it and was surprised ot was on the HBO/MAX app. Well, from the story, to the visuals, and music 🎶 I  absolutely LOVED this movie and I don't like much of anything anymore. I  guess I got a little Anhedonia going on, okay, a lot 🤷🏼so being in it, I'm fully aware when something comes along this rare that takes me out of the here an now, and allows some desperately needed escapism. This movie is so good for so many reasons on so many different levels. Beautifully shot. It's a winner all around.👍🏻😳",0.051,0.813,0.135,0.9438,Positive
I'm glad that this movie got nominated for a Oscar.,I'm glad that this movie got nominated for a Oscar.,0.0,0.75,0.25,0.4588,Positive
16 nominations is quite impressive,16 nominations is quite impressive,0.0,0.527,0.473,0.5563,Positive
what the FECK was that accent???,what the FECK was that accent???,0.0,1.0,0.0,0.0,Neutral
TOKENISM...i wonder why this was nominated this much 🥱🥱🥱 rotten to the core,TOKENISM...i wonder why this was nominated this much 🥱🥱🥱 rotten to the core,0.216,0.784,0.0,-0.5106,Negative
Heel natuurlijk gespeeld.het pakje,Heel natuurlijk gespeeld.het pakje,0.0,1.0,0.0,0.0,Neutral
16 oscar nominations 😮,16 oscar nominations 😮,0.0,1.0,0.0,0.0,Neutral
MOST NOMINATED FILM OF ALL TIME,MOST NOMINATED FILM OF ALL TIME,0.0,1.0,0.0,0.0,Neutral
Looks good,Looks good,0.0,0.256,0.744,0.4404,Positive
Congrats to this amazing movie on being the most nominated movie in Oscar history! 16 NOMINATIONS! 🔥,Congrats to this amazing movie on being the most nominated movie in Oscar history! 16 NOMINATIONS! 🔥,0.099,0.579,0.322,0.7494,Positive
"16 nominations is crazy, especially since the Oscars historically dismissed horror films.","16 nominations is crazy, especially since the Oscars historically dismissed horror films.",0.379,0.621,0.0,-0.7269,Negative
"Y'all,16 Oscar nominations. Even if it didn't win any Oscar at the end. That's a resounding validati...","Y'all,16 Oscar nominations. Even if it didn't win any Oscar at the end. That's a resounding validation of all involved in ""Sinners"" ❤😊",0.08,0.653,0.267,0.798,Positive
No idea what this film is about  even having watched the trailer.,No idea what this film is about  even having watched the trailer.,0.167,0.833,0.0,-0.296,Negative
Who and all after the Oscar nomination..,Who and all after the Oscar nomination..,0.0,1.0,0.0,0.0,Neutral
This movie has been on my list to watch for AGES and after it nabbed 16 Oscar nominations I feel sha...,This movie has been on my list to watch for AGES and after it nabbed 16 Oscar nominations I feel shame for not having watched it yet.,0.107,0.893,0.0,-0.4767,Negative
I`ll pass thanks.,I`ll pass thanks.,0.0,0.408,0.592,0.4404,Positive
Sixteen nominations!!!,Sixteen nominations!!!,0.0,1.0,0.0,0.0,Neutral
16 bloody Oscar nominations 🩸,16 bloody Oscar nominations 🩸,0.42,0.58,0.0,-0.4404,Negative
Such a mid trailer yeah I can't judge the movie since I haven't seen it but the trailer isn't inspir...,Such a mid trailer yeah I can't judge the movie since I haven't seen it but the trailer isn't inspiring me to,0.122,0.813,0.065,-0.3395,Negative
"q:  could hollywood possibly become less relevant?
a:   maybe","q:  could hollywood possibly become less relevant?
a:   maybe",0.0,1.0,0.0,0.0,Neutral
16 Oscar nominations... Wow.,16 Oscar nominations... Wow.,0.0,0.441,0.559,0.5859,Positive
"So, a black mans version of ""From Dusk Till Dawn"". Got it. Looks good and cant wait to see it.","So, a black mans version of ""From Dusk Till Dawn"". Got it. Looks good and cant wait to see it.",0.0,0.868,0.132,0.4404,Positive
Coolger definitely listened to Dance of death by Iron Maiden,Coolger definitely listened to Dance of death by Iron Maiden,0.267,0.548,0.185,-0.296,Negative
Just watch the recap and save your time.,Just watch the recap and save your time.,0.0,0.686,0.314,0.4939,Positive
Looks Dark,Looks Dark,0.0,1.0,0.0,0.0,Neutral
Any movie that has a Chicago Typewriter in it.  Is always good.,Any movie that has a Chicago Typewriter in it.  Is always good.,0.0,0.791,0.209,0.4404,Positive
"While I haven’t seen the film, and I fully intend to watch it, as someone who lived in MS for nearly...","While I haven’t seen the film, and I fully intend to watch it, as someone who lived in MS for nearly 15 years and has actually ""been all around this world"" I feel I can say with complete confidence… that accent is GARBAGE",0.0,1.0,0.0,0.0,Neutral
The world is Black and we dont need more black people,The world is Black and we dont need more black people,0.0,1.0,0.0,0.0,Neutral
Shite,Shite,0.0,1.0,0.0,0.0,Neutral
Well.. it's time to watch,Well.. it's time to watch,0.0,0.656,0.344,0.2732,Positive
⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,0.0,1.0,0.0,0.0,Neutral
💎💎💎💎💎,💎💎💎💎💎,0.0,1.0,0.0,0.0,Neutral
💜💜💜💜💜,💜💜💜💜💜,0.0,0.192,0.808,0.9719,Positive
I don't watch trailers until AFTER I see the movie and this one is top notch. doesn't spoil a single...,I don't watch trailers until AFTER I see the movie and this one is top notch. doesn't spoil a single damn thing. I went into the movie completely blind and loved it.,0.144,0.706,0.15,0.0697,Positive
Can someone please go to Hollywood and give these modern fools some acting lessons in great cinema. ...,"Can someone please go to Hollywood and give these modern fools some acting lessons in great cinema.  No cadence, not chemistry, just robotic reading and expressions all in time.  YAWN AF",0.139,0.696,0.165,0.25,Positive
💗,💗,0.0,0.0,1.0,0.7096,Positive
a celebration and glorification of immorality and fantasy?...am i the only sane person left in the w...,a celebration and glorification of immorality and fantasy?...am i the only sane person left in the world?,0.08,0.752,0.168,0.4137,Positive
Came into this movie having no idea at all what it was about...Absolute cinema.,Came into this movie having no idea at all what it was about...Absolute cinema.,0.145,0.855,0.0,-0.296,Negative
*SAMMIE!!*,*SAMMIE!!*,0.0,1.0,0.0,0.0,Neutral
"Literally one of the best films I've ever seen, just wow!! Incredible!! 🖤🔥🦇","Literally one of the best films I've ever seen, just wow!! Incredible!! 🖤🔥🦇",0.094,0.424,0.482,0.9183,Positive
الحمدلله على نعمة الإسلام والنبي الصادق الأمين صلى الله عليه وسلم,الحمدلله على نعمة الإسلام والنبي الصادق الأمين صلى الله عليه وسلم,0.0,1.0,0.0,0.0,Neutral
Best movie 2025,Best movie 2025,0.0,0.323,0.677,0.6369,Positive
"I feel so weird…I don’t get the appeal; well, not Oscar appeal. I thought it was silly…glowing eyes ...","I feel so weird…I don’t get the appeal; well, not Oscar appeal. I thought it was silly…glowing eyes and all that…what? Can’t be easy to play twins, though. I’m confused. I mean, it’s totally watchable but huh? Then again, while also watchable I’m not seeing Best Picture in Anora, either.",0.116,0.793,0.092,-0.5207,Negative
I actually can't believe how good this movie was. A real masterpiece. Instant classic. We haven't be...,I actually can't believe how good this movie was. A real masterpiece. Instant classic. We haven't been getting many of those lately.,0.091,0.755,0.155,0.4007,Positive
"Birth of a Nation, but for the 5% Islam crowd.","Birth of a Nation, but for the 5% Islam crowd.",0.0,1.0,0.0,0.0,Neutral
In fact.. BLNM,In fact.. BLNM,0.0,1.0,0.0,0.0,Neutral
This movie is so gonna rock the oscars this year.,This movie is so gonna rock the oscars this year.,0.0,1.0,0.0,0.0,Neutral
"My goodness. The music, the story is sooo good. The music in itself deserves multiple awards.","My goodness. The music, the story is sooo good. The music in itself deserves multiple awards.",0.0,0.594,0.406,0.836,Positive
This movie tells you everything about black culture.,This movie tells you everything about black culture.,0.0,1.0,0.0,0.0,Neutral
"They couldn't decide whether to do a horror, a musical or DEI rewrite of a time period in the Americ...","They couldn't decide whether to do a horror, a musical or DEI rewrite of a time period in the American South, so they just did it all.",0.125,0.875,0.0,-0.5719,Negative
What a film!!!,What a film!!!,0.0,1.0,0.0,0.0,Neutral
People in the comments saying that the movie is original! 😂 I've seen at least 5 similar movies,People in the comments saying that the movie is original! 😂 I've seen at least 5 similar movies,0.07,0.696,0.234,0.6696,Positive
W,W,0.0,1.0,0.0,0.0,Neutral
This movie is AMAZING in every way it has a soul of its own,This movie is AMAZING in every way it has a soul of its own,0.0,0.741,0.259,0.6739,Positive
"“If you keep dancing with the devil one day he’s gonna follow you home” 

That’s a quote right there","“If you keep dancing with the devil one day he’s gonna follow you home” 

That’s a quote right there",0.196,0.804,0.0,-0.6597,Negative
Best film of the year period,Best film of the year period,0.0,0.543,0.457,0.6369,Positive
2025 was a magnificent year for the cinephiles. This one is among the very top films which came out ...,"2025 was a magnificent year for the cinephiles. This one is among the very top films which came out that year. 
All the actors were sincerely great, the music was... hey, blues sang by Buddy Guy is god-tier! Loved Buddy's screen time. Epic film.
*January 3, 2026*",0.0,0.707,0.293,0.9544,Positive
Finally a good movie!,Finally a good movie!,0.0,0.484,0.516,0.4926,Positive
Demons no thanks !,Demons no thanks !,0.473,0.527,0.0,-0.4015,Negative
"That's how he got you ninjas through the music, it told you the devil likes music, to channel in on ...","That's how he got you ninjas through the music, it told you the devil likes music, to channel in on you people, gotcha didn't it. 😂",0.162,0.668,0.17,0.0772,Positive
Absolute rip off of From Dusk Till Dawn,Absolute rip off of From Dusk Till Dawn,0.0,1.0,0.0,0.0,Neutral
"Wow I’m a believer in God in Christ, and this movie revived me. It is so historically and spirituall...","Wow I’m a believer in God in Christ, and this movie revived me. It is so historically and spiritually rich and beyond my expectations!!! Wow",0.0,0.597,0.403,0.9346,Positive
"This looks like the Americans saying;
Black and Asian folks fighting the white devil
BECAUSE WHITE P...","This looks like the Americans saying;
Black and Asian folks fighting the white devil
BECAUSE WHITE PEOPLE ARE EVIL 😈",0.339,0.507,0.155,-0.8192,Negative
"This looks amazing, I think Hailee Steinfield is an amazing actress","This looks amazing, I think Hailee Steinfield is an amazing actress",0.0,0.542,0.458,0.8225,Positive
"""Jump on the work don't let the work jump on you""","""Jump on the work don't let the work jump on you""",0.0,1.0,0.0,0.0,Neutral
Very weird movie lol,Very weird movie lol,0.282,0.283,0.434,0.2665,Positive
"Please, dont watch this, it a voodoo movie , you'll be pessessed","Please, dont watch this, it a voodoo movie , you'll be pessessed",0.0,0.827,0.173,0.3182,Positive
They need to do a gangster movie of the brothers time in Chicago showing their rise to power. Both r...,They need to do a gangster movie of the brothers time in Chicago showing their rise to power. Both roles MBJ played was Executed brilliantly this is he’s best Performance also he’s vampire role was great but thier needs to be a gangster movie of this 100%,0.0,0.821,0.179,0.81,Positive
The best,The best,0.0,0.192,0.808,0.6369,Positive
Here cause its on Jahns best of list,Here cause its on Jahns best of list,0.0,0.625,0.375,0.6369,Positive
Incredible film,Incredible film,0.0,1.0,0.0,0.0,Neutral
Magnificence significance irresistible,Magnificence significance irresistible,0.0,0.0,1.0,0.7845,Positive
Exceptional phenomenal incredible,Exceptional phenomenal incredible,0.0,1.0,0.0,0.0,Neutral
Inshallah mashallah subhanallah Alhamdulillah,Inshallah mashallah subhanallah Alhamdulillah,0.0,1.0,0.0,0.0,Neutral
"Best film I've seen in a long time. Original and fantastic, kept me on the edge of my seat or laughi...","Best film I've seen in a long time. Original and fantastic, kept me on the edge of my seat or laughing or in love at all times.",0.0,0.557,0.443,0.9552,Positive
cringe,cringe,0.0,1.0,0.0,0.0,Neutral
Best movie of the year.,Best movie of the year.,0.0,0.488,0.512,0.6369,Positive
probably one of the best movie this year tbh,probably one of the best movie this year tbh,0.0,0.656,0.344,0.6369,Positive
It’s as good as it looks. Refreshing and classy.,It’s as good as it looks. Refreshing and classy.,0.0,0.547,0.453,0.7003,Positive
we be vampire killerz and shhhhhiiiiiieeeeet,we be vampire killerz and shhhhhiiiiiieeeeet,0.0,1.0,0.0,0.0,Neutral
i saw this trailer when it first started playing last year and immediately knew sinners was going to...,"i saw this trailer when it first started playing last year and immediately knew sinners was going to be my most anticipated film of 2025.

THIS is how you cut a trailer.",0.062,0.885,0.053,-0.0772,Negative
يمه صدك يشبه فلم sinners النوب الفلم جديد نزل السنه,يمه صدك يشبه فلم sinners النوب الفلم جديد نزل السنه,0.0,1.0,0.0,0.0,Neutral
"Great movie, strong subtext.","Great movie, strong subtext.",0.0,0.213,0.787,0.8126,Positive
"One unique story, watch it, its not what it seems in the trailer. I hold back for months to watch it...","One unique story, watch it, its not what it seems in the trailer. I hold back for months to watch it seem like another vampire flick but its not. Amazing 👏 👏👏",0.103,0.853,0.044,-0.52,Negative
😊 great movie ❤,😊 great movie ❤,0.0,0.259,0.741,0.936,Positive
This was inspired by stephen king,This was inspired by stephen king,0.0,0.61,0.39,0.4939,Positive
Movie name: Sinners,Movie name: Sinners,0.0,1.0,0.0,0.0,Neutral
"Great movie, tho based off the trailer I thought it was going to be something totally different. 🔥","Great movie, tho based off the trailer I thought it was going to be something totally different. 🔥",0.118,0.702,0.18,0.3446,Positive
My Sixth Sene Is tolding me that this movie will became in  the  horror movie # 8  will be nominated...,My Sixth Sene Is tolding me that this movie will became in  the  horror movie # 8  will be nominated to picture in the Oscars.,0.134,0.866,0.0,-0.5719,Negative
"We had no idea what we would eventually witness when we first saw this trailer, oh man. Absolute Cin...","We had no idea what we would eventually witness when we first saw this trailer, oh man. Absolute Cinema!",0.122,0.878,0.0,-0.3595,Negative
One of THE best Movie of 2025,One of THE best Movie of 2025,0.0,0.588,0.412,0.6369,Positive
Best film i saw in theaters in a long time,Best film i saw in theaters in a long time,0.0,0.682,0.318,0.6369,Positive
i love michael B jordan,i love michael B jordan,0.0,0.488,0.512,0.6369,Positive
Black dusk til dawn,Black dusk til dawn,0.0,1.0,0.0,0.0,Neutral
There are so few films which carry this much emotional and eye-opening weight. I love this film. Cha...,"There are so few films which carry this much emotional and eye-opening weight. I love this film. Challenging, empathic, historical, and fantastical all woven together. 🌸",0.0,0.689,0.311,0.8555,Positive
"Such a great movie. And if you like it, watch From Dusk Till Dawn. You'll know why at the end of the...","Such a great movie. And if you like it, watch From Dusk Till Dawn. You'll know why at the end of the first act.",0.0,0.769,0.231,0.765,Positive
These creators need to do more stories like this one. Best vampire movie in years.,These creators need to do more stories like this one. Best vampire movie in years.,0.0,0.651,0.349,0.7893,Positive
/Halloween,/Halloween,0.0,1.0,0.0,0.0,Neutral
Such a great movie,Such a great movie,0.0,0.423,0.577,0.6249,Positive
