comment,full_comment,negative,neutral,positive,compound,sentiment
Oh made uo heasck hiolswrll oh kste Mrs phebkivk vksd oh,Oh made uo heasck hiolswrll oh kste Mrs phebkivk vksd oh,0.0,1.0,0.0,0.0,Neutral
Criom crunchers,Criom crunchers,0.0,1.0,0.0,0.0,Neutral
Probably the best movie I've seen in a decade.,Probably the best movie I've seen in a decade.,0.0,0.656,0.344,0.6369,Positive
"Utter s…t 
👎","Utter s…t 
👎",0.0,1.0,0.0,0.0,Neutral
"Sonny got called ""Professor"" so he is based on Alain Prost","Sonny got called ""Professor"" so he is based on Alain Prost",0.0,1.0,0.0,0.0,Neutral
Revisiting this masterpiece in 2026❤,Revisiting this masterpiece in 2026❤,0.0,0.376,0.624,0.8519,Positive
"This movie was AWESOME, very aesthetically pleasing in the way it was shot, cut and edited, the musi...","This movie was AWESOME, very aesthetically pleasing in the way it was shot, cut and edited, the music as well. I understand the story is not anything new but for a sports movie it was good enough, I don't know why the critics where so harsh with the ratings.

I wish I had watched this on cinema fml",0.119,0.686,0.195,0.6774,Positive
"BRAD PITT HAS NO FLOPS: HE HAS CHURNED HIT AFTER HITS AND IT IS NOT EVEN CLOSE!
OCEANS 1,2,3,BIG SHO...","BRAD PITT HAS NO FLOPS: HE HAS CHURNED HIT AFTER HITS AND IT IS NOT EVEN CLOSE!
OCEANS 1,2,3,BIG SHORT,ONCE UPON A TIME IN HOLLYWOOD, FIGHT CLUB,SEVEN, BENJAMAN BUTTON,MR AND MRS SMITH,FURY, WORLD WAR Z, BULLET TRAIN, HE HAD HITS IN EVEN MEET JOE AND MANY MANY MORE: THAT JOMBIE WITH TOM CRUISE.
ALL SUPERSTARS HAD FLOPS GALORE NOT BRAD PITT!
INCREDIBLE!",0.14,0.831,0.029,-0.829,Negative
Loveeed how real this movie felt I cried at the end ❤,Loveeed how real this movie felt I cried at the end ❤,0.146,0.618,0.236,0.3818,Positive
"Just wondering where Sonny Hayes got the 40 Super Licence points from, to even qualify to compete in...","Just wondering where Sonny Hayes got the 40 Super Licence points from, to even qualify to compete in F1?",0.0,0.822,0.178,0.5994,Positive
Trailer didn’t explain these guys were on the same team. Thought they were opponents. Maybe woulda s...,Trailer didn’t explain these guys were on the same team. Thought they were opponents. Maybe woulda seen in theaters if I understood plot,0.0,1.0,0.0,0.0,Neutral
"An aging once-promising athlete, whose early career was sidelined by injury, joins a failing team ab...","An aging once-promising athlete, whose early career was sidelined by injury, joins a failing team about to be sold only to bring hope and ultimately success to it.
In other words, a remake of ""The Natural"" with Robert Redford!",0.123,0.687,0.19,0.5093,Positive
Good movie. Just saw it 👍🏽,Good movie. Just saw it 👍🏽,0.0,0.756,0.244,0.4404,Positive
This movie used now one of my top ten favs!!! 🎉❤❤🎉❤,This movie used now one of my top ten favs!!! 🎉❤❤🎉❤,0.0,0.404,0.596,0.9669,Positive
We need a second movie,We need a second movie,0.0,1.0,0.0,0.0,Neutral
"Today, We Get to Say, We're the Best In The World!","Today, We Get to Say, We're the Best In The World!",0.0,0.69,0.31,0.6696,Positive
This is Brad Pitt . . . might be thumbs down for reality but taking this movie seriously is not the ...,This is Brad Pitt . . . might be thumbs down for reality but taking this movie seriously is not the question . . . he's The Man,0.071,0.929,0.0,-0.2617,Negative
Welcome too hollywood miko suavey travis scott tyshawn webb myshawn webb,Welcome too hollywood miko suavey travis scott tyshawn webb myshawn webb,0.0,0.769,0.231,0.4588,Positive
"So many mistakes in this movie for anyone that is a fan of F1......you can't jump in a F1 car, you n...","So many mistakes in this movie for anyone that is a fan of F1......you can't jump in a F1 car, you need to have a seat formed to your body....you can't race on slicks in that much rain....you can't block in F1.....you can't spin in F1 and still run competitive speeds.....you can't run the Baja 1000 after significant back injuries in F1.....etc., etc., etc. They needed a better F1 consultant.",0.036,0.822,0.143,0.7452,Positive
מדים חדשים לצבא האמריקני נוחים ונעימים בעיצוב קלווין קליין הפדופילים בשווי מאותתמיליארדים לצבא ומשטר...,"מדים חדשים לצבא האמריקני נוחים ונעימים בעיצוב קלווין קליין הפדופילים בשווי מאותתמיליארדים לצבא ומשטרההאמריקנית ועובדי משמר הגבול ע שנפתח ןמסגר מלמעלה.כול תחתונים ונעליים בשווי מאות מיליארדים תנפיקו אג""ח.",0.0,1.0,0.0,0.0,Neutral
When I first saw the advertisements for the F1 movie I knew I had to watch it. I personally am not t...,"When I first saw the advertisements for the F1 movie I knew I had to watch it. I personally am not too into the sport, but the immersive visuals hooked me. At the start, you are introduced to Sonny Hayes, a man whose career almost ended in a brutal crash. Throughout the entire movie, this crash seems to be haunting him, even being the reason as to why he left the sport in the first place. He’s portrayed by Brad Pitt, who I know mostly for his roles as David Mills on Se7en and Tyler Durden on Fight Club. A couple months before I saw the F1 movie, I saw Se7en so I already had high expectations for the F1 movie. Anyway, he goes on to win the 24 Hours of Daytona and meets with his former teammate and close friend, Ruben Cervantes. His friend recruits him into his currently failing team known as APXGP, where he meets Joshua Pearce, a young rising star in the F1 scene. Pearce is played by Damson Idris, a person widely known for their role as Franklin Saint on Snowfall. Throughout the entire story, these two are our main characters. 
	Sonny Hayes' whole role in the entire movie is to be a mentor for Pearce. And that’s exactly what he does. One thing that I loved about Sonny was his calmness compared to Joshua. While Joshua is kind of like a hot head, Hayes keeps his cool in almost every situation. They are essentially the opposites of each other. Also, the evolution of their relationship is something that I thought was great. They begin with having a sort of rivalry and high egos; though, most of this is just Joshua. Thus, as the story progresses more, Joshua starts to kind of understand Hayes and they both create a mutual respect for each other and think of the team first rather than their own selves. In the end, one of the main points of the movie is their bond and how it grows.
	Moving on from the characters, the movie’s visuals are stunning. The movie shows the competitiveness within F1 and helps viewers understand what truly happens on the track. One thing I was surprised to find out about this was that some scenes were actually shot during the Grand-Prix’s. Also, the movie shows realistic racing, but this was something I expected since Lewis Hamilton was one of the producers of the movie. In my opinion, this is something that fits both casual movie watchers, and fans of F1. 
In conclusion, I think this is something that is worth watching. The characters are great, and so are the visuals. I can’t say much except to just tell you to watch it. It’s a great movie which can leave you with an interest in F1. There are many great things about this movie that I didn’t mention like the importance of Haye’s deck of cards. It’s a movie that will have you wondering about the next adventure of Hayes.",0.043,0.801,0.156,0.997,Positive
Great movie,Great movie,0.0,0.196,0.804,0.6249,Positive
Cut a better trailer. And make it shorter.,Cut a better trailer. And make it shorter.,0.191,0.545,0.264,0.2023,Positive
"Bradd pitt is 60 years old, how is this possible 🥶💀","Bradd pitt is 60 years old, how is this possible 🥶💀",0.0,1.0,0.0,0.0,Neutral
20 drivers 10 teams,20 drivers 10 teams,0.0,1.0,0.0,0.0,Neutral
"Brad pitt, tom cruise & leonardo dicaprio are the OG actors","Brad pitt, tom cruise & leonardo dicaprio are the OG actors",0.0,1.0,0.0,0.0,Neutral
Movi name,Movi name,0.0,1.0,0.0,0.0,Neutral
"Brad, pitt!
Yes, I am.","Brad, pitt!
Yes, I am.",0.0,0.572,0.428,0.4574,Positive
Awesome trailer. So inspirational,Awesome trailer. So inspirational,0.0,0.206,0.794,0.8268,Positive
I watch this movie in Theatre on 10th November 2025...Glad I dont miss it.,I watch this movie in Theatre on 10th November 2025...Glad I dont miss it.,0.0,0.9,0.1,0.1139,Positive
Brad Pitt🔥🔥🔥,Brad Pitt🔥🔥🔥,0.783,0.217,0.0,-0.7351,Negative
ALONE WOLF,ALONE WOLF,0.667,0.333,0.0,-0.25,Negative
Kerennn,Kerennn,0.0,1.0,0.0,0.0,Neutral
If you have iPhone you should watch this on apple tv,If you have iPhone you should watch this on apple tv,0.0,1.0,0.0,0.0,Neutral
ROSÉ ❤,ROSÉ ❤,0.0,0.323,0.677,0.6369,Positive
Good movie!,Good movie!,0.0,0.239,0.761,0.4926,Positive
Watched it here in Dubai with my female friend yesterday. No boring moment from start to finish. The...,Watched it here in Dubai with my female friend yesterday. No boring moment from start to finish. The movie with a heart.,0.0,0.67,0.33,0.8542,Positive
Anybody notice crish Hemsworth in movie?,Anybody notice crish Hemsworth in movie?,0.0,1.0,0.0,0.0,Neutral
Grand turismo and F1   favorite race car movie,Grand turismo and F1   favorite race car movie,0.0,0.5,0.5,0.7184,Positive
"Its been a while since i watched a great movie, really i enjoyed each second.","Its been a while since i watched a great movie, really i enjoyed each second.",0.0,0.629,0.371,0.8261,Positive
Я давно не испытывал таких эмоций. Это прекрасный фильм.,Я давно не испытывал таких эмоций. Это прекрасный фильм.,0.0,1.0,0.0,0.0,Neutral
When that woman was trying to insult Brad Pitt’s character by calling him a rough and tumble cowboy ...,"When that woman was trying to insult Brad Pitt’s character by calling him a rough and tumble cowboy what she failed to realize was that rough and tumble Cowboys get it done every single time. They might not get it done exactly how you want it done but they damn sure get it done. See also Robert Duvall in almost every single movie he’s ever done. Tommy Lee Jones, and almost every single movie he’s ever done. Clint Eastwood in every single movie he has ever done. Let’s face it rough and tumble Cowboys get it done every single time.",0.073,0.888,0.038,-0.5789,Negative
"Very poetic indeed. Brad & Javier are unbelievably great actors. Loved every bit of this! 
*October ...","Very poetic indeed. Brad & Javier are unbelievably great actors. Loved every bit of this! 
*October 20, 2025* _11:56 p.m._",0.0,0.67,0.33,0.8705,Positive
"5/5 this movie is made for racers, football lovers don't watch it.","5/5 this movie is made for racers, football lovers don't watch it.",0.0,0.764,0.236,0.5267,Positive
This bgm reminds me Pacific Rim bgm in another tune. (Hans zimmer bgm ),This bgm reminds me Pacific Rim bgm in another tune. (Hans zimmer bgm ),0.0,1.0,0.0,0.0,Neutral
"I enjoyed this movie very much.

Greetings from Germany 🤗","I enjoyed this movie very much.

Greetings from Germany 🤗",0.0,0.466,0.534,0.8473,Positive
similar to driven lmfao,similar to driven lmfao,0.0,0.462,0.538,0.5423,Positive
"This is literally not a sport, how can clowns say this is the best sports movie of all time? lmfao","This is literally not a sport, how can clowns say this is the best sports movie of all time? lmfao",0.0,0.7,0.3,0.8271,Positive
Looks like Driven with Sylvester Stallone,Looks like Driven with Sylvester Stallone,0.0,0.667,0.333,0.3612,Positive
"So, how is this different than Driven, with Stallone being the old race car driver brought back to t...","So, how is this different than Driven, with Stallone being the old race car driver brought back to teach the young driver how to win?",0.0,0.863,0.137,0.5859,Positive
This felt like watching Ted Lasso played by Brad Pitt.,This felt like watching Ted Lasso played by Brad Pitt.,0.0,0.62,0.38,0.5994,Positive
What if they Re-release it !!!,What if they Re-release it !!!,0.0,1.0,0.0,0.0,Neutral
The movie 'Faster' is way better imo,The movie 'Faster' is way better imo,0.0,0.674,0.326,0.4404,Positive
Thank you Brad Pitt ❤,Thank you Brad Pitt ❤,0.0,0.374,0.626,0.7717,Positive
From 1999,From 1999,0.0,1.0,0.0,0.0,Neutral
❤,❤,0.0,0.192,0.808,0.6369,Positive
Demon Slayer: Kimetsu no Yaiba😂,Demon Slayer: Kimetsu no Yaiba😂,0.275,0.47,0.255,0.1779,Positive
One of the best movies I ever watch,One of the best movies I ever watch,0.0,0.625,0.375,0.6369,Positive
The real one is ajith,The real one is ajith,0.0,1.0,0.0,0.0,Neutral
Masterpiece ❤,Masterpiece ❤,0.0,0.108,0.892,0.8519,Positive
Ohhh my God just finished this movie and I must say this is one of those movies that has the ability...,Ohhh my God just finished this movie and I must say this is one of those movies that has the ability to change ones life forever fr,0.0,0.85,0.15,0.5267,Positive
"The movie is great, but this is the best trailer in the 2020s I’ve ever seen.","The movie is great, but this is the best trailer in the 2020s I’ve ever seen.",0.0,0.626,0.374,0.8537,Positive
"Brad Pitt is in this movie, I know it is going to be good, I forgot to go to the theatre and I reall...","Brad Pitt is in this movie, I know it is going to be good, I forgot to go to the theatre and I really regret it, love Brad Pitt! Stay safe, stay healthy!",0.069,0.627,0.303,0.8874,Positive
"mkay, i watched this, its not a boring racing movie. im surprized how much i liked it. i guess Apple...","mkay, i watched this, its not a boring racing movie. im surprized how much i liked it. i guess Apple being involved should have given it away that its not gonna be boring.
its layered(you get what i mean when you watch it). its like back when movies didn't waste your time being preachy like today movies.",0.0,0.784,0.216,0.9013,Positive
I watched this movie more than 5 times today is my 6th time……,I watched this movie more than 5 times today is my 6th time……,0.0,1.0,0.0,0.0,Neutral
This New F1 Film Looks Fantastic I can't Wait To Warch It 😃🚘,This New F1 Film Looks Fantastic I can't Wait To Warch It 😃🚘,0.0,0.736,0.264,0.7269,Positive
The most unbelievable part of this movie was that Stroll wasn't last.,The most unbelievable part of this movie was that Stroll wasn't last.,0.0,0.84,0.16,0.2716,Positive
Really good jobs...,Really good jobs...,0.0,0.385,0.615,0.4927,Positive
Hey its Tyler Durden,Hey its Tyler Durden,0.0,1.0,0.0,0.0,Neutral
India 🇮🇳  Indian fan,India 🇮🇳  Indian fan,0.0,0.566,0.434,0.3182,Positive
we will see what porsche says about daytona racing styles tynan hyundia,we will see what porsche says about daytona racing styles tynan hyundia,0.0,1.0,0.0,0.0,Neutral
Amazing Trailer 🗿,Amazing Trailer 🗿,0.0,0.345,0.655,0.5859,Positive
This Lightning McQueen live action movie looks insane!,This Lightning McQueen live action movie looks insane!,0.299,0.701,0.0,-0.4574,Negative
For some reason I really wanted to see what card it was.,For some reason I really wanted to see what card it was.,0.0,1.0,0.0,0.0,Neutral
F1®  The MOvie,F1®  The MOvie,0.0,1.0,0.0,0.0,Neutral
Just finished watching the movie. Magnificent movie. Masterpiece.,Just finished watching the movie. Magnificent movie. Masterpiece.,0.0,0.429,0.571,0.8402,Positive
This one was good.,This one was good.,0.0,0.508,0.492,0.4404,Positive
Best. Trailer. Ever. WOW I've watched this film about 12 times now. And this trailer still delivers ...,Best. Trailer. Ever. WOW I've watched this film about 12 times now. And this trailer still delivers the feels! The ramp up twice is so good! It builds then settles then builds again on another tempo 😮😊,0.0,0.677,0.323,0.9641,Positive
Excellent movies,Excellent movies,0.0,0.213,0.787,0.5719,Positive
Does anyone know the name of the track at the very beginning? The composer is clearly hanz zimmer. T...,Does anyone know the name of the track at the very beginning? The composer is clearly hanz zimmer. Thank you in advance,0.0,0.794,0.206,0.6369,Positive
Amazing movie,Amazing movie,0.0,0.208,0.792,0.5859,Positive
Very good movie. 👌,Very good movie. 👌,0.0,0.173,0.827,0.8621,Positive
"Not being a particular Formula 1 fan, I didn't focus on the aesthetic boldness of director Joseph Ko...","Not being a particular Formula 1 fan, I didn't focus on the aesthetic boldness of director Joseph Kosinski. So I set aside any comparisons with the harsh realities of this world.
And I'm glad I did, because I loved this blockbuster. Admittedly, the storyline is somewhat farcical, with the sixty-year-old man called in to save a team in total decline. It's a bit like Jackie Stewart, having become a team manager, calling Jacky Ickx back in 2000 to do battle with Schumacher and Häkkinen.
But it's cinema, so it doesn't matter, right? Especially since the racing scenes are impressive. I didn't notice the time passing, and the film still lasts 2 hours and 35 minutes. And then there's the music by Hans Zimmer, of course.
I honestly had a good laugh. Javier Bardem is exquisite as usual, Damson Idris has a beautiful smile, little Kerry Condon is delicious as can be and Brad Pitt is still as cool as ever... ""Who said anything about safe ?"" 😉",0.025,0.721,0.254,0.9937,Positive
Must watch movie,Must watch movie,0.0,1.0,0.0,0.0,Neutral
Brad ask..? WHATS IN THA...BOX....?,Brad ask..? WHATS IN THA...BOX....?,0.0,1.0,0.0,0.0,Neutral
Super of the Machines 3 (1999),Super of the Machines 3 (1999),0.0,0.562,0.438,0.5994,Positive
Cinematography top notch and brad pit is ageing like fine wine 😅,Cinematography top notch and brad pit is ageing like fine wine 😅,0.0,0.561,0.439,0.765,Positive
"I never cared about f1 racing but Pitt makes anything so awsome, awsome movie!!!","I never cared about f1 racing but Pitt makes anything so awsome, awsome movie!!!",0.164,0.836,0.0,-0.3699,Negative
Brain Power,Brain Power,0.0,1.0,0.0,0.0,Neutral
Loveyou jindappi ❤,Loveyou jindappi ❤,0.0,0.417,0.583,0.6369,Positive
"Ghanta 


























🤞? mmmm
. 🤞Nhdggjfuozdxvfyzhdxgkn🥳🐱✌✌💕
. 

🤞😘






M
❤ laura","Ghanta 


























🤞? mmmm
. 🤞Nhdggjfuozdxvfyzhdxgkn🥳🐱✌✌💕
. 

🤞😘






M
❤ laura",0.0,0.52,0.48,0.9652,Positive
"1> not bad, the end is kindda exciting 
2> but confusing plot -- be honest, i dont get it what he me...","1> not bad, the end is kindda exciting 
2> but confusing plot -- be honest, i dont get it what he mean losing is winning
3> Ford v Ferrari is better movie than this, slightly  better",0.106,0.518,0.376,0.9391,Positive
Just saw it for first time. WHAT AN AWESOME MOVIE. Would have loved it on IMAX.,Just saw it for first time. WHAT AN AWESOME MOVIE. Would have loved it on IMAX.,0.0,0.616,0.384,0.8668,Positive
Saw F1 in IMAX loved every second of this movie!,Saw F1 in IMAX loved every second of this movie!,0.0,0.682,0.318,0.636,Positive
"Three laps is a lifetime. 
Am I ready?","Three laps is a lifetime. 
Am I ready?",0.0,0.737,0.263,0.3612,Positive
"Going to watch, this weekend! 🏎","Going to watch, this weekend! 🏎",0.0,1.0,0.0,0.0,Neutral
Tamil remake with AJITH KUMAR 🔥 😎,Tamil remake with AJITH KUMAR 🔥 😎,0.179,0.597,0.224,0.1531,Positive
"I watched the movie in IMAX last week, absolutely loved it.
This trailer is 🔥🔥🔥...I watched it now f...","I watched the movie in IMAX last week, absolutely loved it.
This trailer is 🔥🔥🔥...I watched it now first time...
I will watch the movie again in 4DX ;)",0.127,0.713,0.161,0.3167,Positive
Watched the movie 2 times already that’s how good this movie is,Watched the movie 2 times already that’s how good this movie is,0.0,0.791,0.209,0.4404,Positive
one of the best movies of recent times...   🔥🔥🔥🔥,one of the best movies of recent times...   🔥🔥🔥🔥,0.462,0.337,0.202,-0.5267,Negative
The coolest movie! Thank you,The coolest movie! Thank you,0.0,0.589,0.411,0.4199,Positive
This is the exact same movie as Driven!,This is the exact same movie as Driven!,0.0,1.0,0.0,0.0,Neutral
Looks good but not better than the Gran Turismo movie,Looks good but not better than the Gran Turismo movie,0.238,0.613,0.149,-0.2867,Negative
This film 📈,This film 📈,0.0,1.0,0.0,0.0,Neutral
❤‍🔥,❤‍🔥,0.545,0.455,0.0,-0.34,Negative
That scene where the technical team are,That scene where the technical team are,0.0,1.0,0.0,0.0,Neutral
I feel Sonny Hayes character is written by Flavio Briatore 😂,I feel Sonny Hayes character is written by Flavio Briatore 😂,0.102,0.695,0.203,0.4404,Positive
The best movie! Brad Pitt 🎉 100% what people need to watch - American dream !,The best movie! Brad Pitt 🎉 100% what people need to watch - American dream !,0.0,0.596,0.404,0.8585,Positive
My Gooooodness such a dope movie,My Gooooodness such a dope movie,0.0,1.0,0.0,0.0,Neutral
THIS IS SOOOO GOOD,THIS IS SOOOO GOOD,0.0,0.508,0.492,0.4404,Positive
Fantastic movie. Thank you Warner Bros!,Fantastic movie. Thank you Warner Bros!,0.0,0.385,0.615,0.75,Positive
Trailer: 10/10 Movie: 99/10,Trailer: 10/10 Movie: 99/10,0.0,1.0,0.0,0.0,Neutral
"The fact that REAL commentators, REAL drivers, REAL everything was used....makes thos film entirely ...","The fact that REAL commentators, REAL drivers, REAL everything was used....makes thos film entirely authentic 👌 👏 🙌",0.0,0.74,0.26,0.7701,Positive
AK ❤ Ajithkumar fan✨,AK ❤ Ajithkumar fan✨,0.0,0.254,0.746,0.8316,Positive
Was comparing this with gran tourismo,Was comparing this with gran tourismo,0.0,1.0,0.0,0.0,Neutral
The only Movie i didn't skip or fast forward.,The only Movie i didn't skip or fast forward.,0.0,1.0,0.0,0.0,Neutral
Alone 🐺 ♥️✨,Alone 🐺 ♥️✨,0.174,0.261,0.565,0.6705,Positive
Ts fire af😭,Ts fire af😭,0.579,0.421,0.0,-0.6705,Negative
From 'No country for old men' to 'A championship for old men'.,From 'No country for old men' to 'A championship for old men'.,0.0,0.791,0.209,0.4404,Positive
Best film of this year,Best film of this year,0.0,0.488,0.512,0.6369,Positive
