comment,full_comment,negative,neutral,positive,compound,sentiment
This does not look good at all 😅,This does not look good at all 😅,0.173,0.647,0.18,0.0243,Neutral
Total BS,Total BS,0.0,1.0,0.0,0.0,Neutral
"PTA worse movie 👎 Nope!
Bots and straight liars in the comments 😂 1 or 2 funny scenes, but nope. Sea...","PTA worse movie 👎 Nope!
Bots and straight liars in the comments 😂 1 or 2 funny scenes, but nope. Sean Penn is good. This is more of a mockery. It's a satire, but it isn't done very well.",0.234,0.62,0.145,-0.4619,Negative
wasn't that great,wasn't that great,0.622,0.378,0.0,-0.5096,Negative
I guess Teyana redeemed herself after Straw,I guess Teyana redeemed herself after Straw,0.0,0.723,0.277,0.3182,Positive
Complete trash,Complete trash,0.0,1.0,0.0,0.0,Neutral
"Saw this yesterday on streaming, waiting out a winter snowstorm.❄️ Totally want to watch it again! T...","Saw this yesterday on streaming, waiting out a winter snowstorm.❄️ Totally want to watch it again! There are few actors worth the price of admission to a movie theater and Leo is one of them, Tom being another.",0.0,0.907,0.093,0.4186,Positive
It was ok movie wouldn't say great sean penn character was weird I liked second half of movie better...,It was ok movie wouldn't say great sean penn character was weird I liked second half of movie better then first half when there coming after all them.,0.139,0.641,0.22,0.4416,Positive
Warner Bros really going all out with these bot comments. You can just look at the like-to-dislike r...,"Warner Bros really going all out with these bot comments. You can just look at the like-to-dislike ratio to get an idea of what people really thought of this film. Go woke, go broke. This is why it's lost 100 million in revenue.",0.111,0.889,0.0,-0.6249,Negative
Dad Leo before GTA 6,Dad Leo before GTA 6,0.0,1.0,0.0,0.0,Neutral
"WB had the two highest nominated movies at the Oscars this year.

Now they’re getting sold to Netfli...","WB had the two highest nominated movies at the Oscars this year.

Now they’re getting sold to Netflix, where they’ll have the s***iest theatrical releases in cinematic history.

Hollywood has lost their way. Too many MBAs at the heads of the table and not enough people with actual love for the industry.",0.041,0.885,0.074,0.4404,Positive
"Just saw this on TV, what was the point of making this movie? 😂","Just saw this on TV, what was the point of making this movie? 😂",0.088,0.737,0.175,0.4404,Positive
What time is it?,What time is it?,0.0,1.0,0.0,0.0,Neutral
Cringey and dated like the book.,Cringey and dated like the book.,0.0,0.667,0.333,0.3612,Positive
This is an attempt to create an anti-white world. It's an attempt to brainwash whites into thinking ...,This is an attempt to create an anti-white world. It's an attempt to brainwash whites into thinking they need to help blacks and be an assistant sidekick. Reject this garbage,0.078,0.783,0.139,0.2732,Positive
Lost me in the first 5 minutes. Sean Penn used to be my hero.,Lost me in the first 5 minutes. Sean Penn used to be my hero.,0.128,0.67,0.201,0.3182,Positive
"Absolute garbage, don’t waste your time.","Absolute garbage, don’t waste your time.",0.359,0.641,0.0,-0.4215,Negative
"A very important and good movie against ICE actually, and highly political and relevant. Taylor Swif...","A very important and good movie against ICE actually, and highly political and relevant. Taylor Swift saw it and liked it too, by the way. And the reason why Trump has allowed Paramount to aggressively pursue buying Warner Bros, because he hates this movie and wants to install a new CEO in your studio loyal to his agenda. See, I know everything what's going on behind the scenes in Hollywood these days. Tell the current CEOs of Warner Bros that I'm with them on this film. Resist the new pro-Trump CEO of Paramount, and stay independent from the US government's influence. This is important for all filmmakers, because the trumpers of this world are trying to take over our entertainment industry aswell. Man, I don't even know if this comment of mine will show up here or be ghosted by youtube, that's how heated this is actually. You can even tell by the negative feedback in this commentary section.",0.051,0.849,0.1,0.7688,Positive
"This movie is just anti-imperialist propaganda, nothing more HAHAha","This movie is just anti-imperialist propaganda, nothing more HAHAha",0.423,0.577,0.0,-0.6299,Negative
"I watched it with high hopes. 
It wasnt very good LOL.","I watched it with high hopes. 
It wasnt very good LOL.",0.346,0.485,0.17,-0.441,Negative
This movie is completely worthless. A bunch of symbolism in a bottomless movie. Hollywood has had on...,"This movie is completely worthless. A bunch of symbolism in a bottomless movie. Hollywood has had one message for the past few years that is very evident in this movie and that message is ""The Age of Aquarius has arrived, the tyrannical, militaristic American government has come to an end, and the third bad message is that America will probably be destroyed by an angry and protesting people.""",0.202,0.798,0.0,-0.9432,Negative
What about USA? 😮,What about USA? 😮,0.0,1.0,0.0,0.0,Neutral
"What happened to Rhianna’s face, is it a Hollywood make-up disguise or is she transitioning to a man...","What happened to Rhianna’s face, is it a Hollywood make-up disguise or is she transitioning to a man? Anyone know?",0.11,0.89,0.0,-0.3313,Negative
propaganda movie for low IQ individuals so they can feel superior. Utter goyslop,propaganda movie for low IQ individuals so they can feel superior. Utter goyslop,0.233,0.568,0.199,0.1027,Positive
Goyslop at its finest. Enjoy gluttons! Hope it wins all the Oscar’s.,Goyslop at its finest. Enjoy gluttons! Hope it wins all the Oscar’s.,0.0,0.471,0.529,0.8777,Positive
what a garbage,what a garbage,0.0,1.0,0.0,0.0,Neutral
"Viva la revolución!
Every lives has an oath words 🎉🎉🎉","Viva la revolución!
Every lives has an oath words 🎉🎉🎉",0.0,0.588,0.412,0.8122,Positive
The first 10 minutes was too corny for me to get past,The first 10 minutes was too corny for me to get past,0.0,1.0,0.0,0.0,Neutral
"Am I the only one to be underwhelmed by this critically appraised film? It had its moments, but only...","Am I the only one to be underwhelmed by this critically appraised film? It had its moments, but only saving grace was Sean Penn & distinct soundtrack.",0.0,0.875,0.125,0.5719,Positive
Good movie. It really rolled until the last hour: when a lot of the action went down is when it star...,"Good movie. It really rolled until the last hour: when a lot of the action went down is when it started to drag. I don't have anything to say which meant it worked in its own right...except when it started to lag. The last hour needed an edit to keep the whole thing snappy like the start. A little dark, but their personal strength and vision were united. I really enjoyed some of these characters, even deCaprio, and I never like deCaprio. The 'regular' kids were awesome in their clips. The film could have had more of that, how the 3rd parties reacted. In film the best moments are others' reactions, like when the dolphins breached in the Big Blue. The high school kids' non-acting acting was a thing of beauty. Juxtaposing that with Sean Penn's gross character which was just over the top weird. I'm not saying that the state actors aren't degenerates, but that sociopathic narcissism is also a blind spot, not a Bond supervillain.",0.071,0.714,0.214,0.9871,Positive
I miss seeing Benecio in movies,I miss seeing Benecio in movies,0.242,0.758,0.0,-0.1531,Negative
"""...to umí každej debil..."" 😆😁😄

Jediné čo si z ""tohto"" (2025/+ motákov), Katka, ber, aby si sa mi n...","""...to umí každej debil..."" 😆😁😄

Jediné čo si z ""tohto"" (2025/+ motákov), Katka, ber, aby si sa mi neplietla do života/do minulosti, aby, ak chceš aby sme sa častejšie vídali, som nemal pri tebe zbytočne veľa negatívnych trigger moments (ako prakticky VŠETCI v mojom živote na kom mi záležalo) - už beztak máš, čo vysvetlovať za 2022+2025 + tuším/tipujem, že si si ma teraz aj na mobile blokla, čiže už aj 2026.....(just FYI)

Capish? Captain? KKaptain!
🥂🥂",0.0,0.86,0.14,0.9214,Positive
"On Kalshi prediction market betting website, it has a 72 percent chance of winning an Oscar for best...","On Kalshi prediction market betting website, it has a 72 percent chance of winning an Oscar for best movie. Sinners is at 21 percent. What do ya'll think?",0.0,0.723,0.277,0.8625,Positive
After Oscar nominations who all came here to see here's the trailer,After Oscar nominations who all came here to see here's the trailer,0.0,1.0,0.0,0.0,Neutral
Id watch this if he wasnt in a mixed race relationship. Calvin Candie would never date one of his wo...,Id watch this if he wasnt in a mixed race relationship. Calvin Candie would never date one of his workers.,0.0,1.0,0.0,0.0,Neutral
"From the trailer, it seems to be pretty violent. Is that the case?","From the trailer, it seems to be pretty violent. Is that the case?",0.215,0.608,0.177,-0.1779,Negative
Is this movie supposed to be about a left winged pipe dream? Or attempting to glorify movements like...,"Is this movie supposed to be about a left winged pipe dream? Or attempting to glorify movements like antifa? If the hope for the left's supposed fight against fascism is antifa and some social justice Hollywood movie, then there really isnt much hope for them at all is there? 😂",0.101,0.634,0.265,0.913,Positive
I'm sorry Teyana Taylor cannot act. I just dont understand how she got an award???,I'm sorry Teyana Taylor cannot act. I just dont understand how she got an award???,0.071,0.709,0.22,0.5775,Positive
Here after oscar nominations,Here after oscar nominations,0.0,1.0,0.0,0.0,Neutral
Who is here after oscars,Who is here after oscars,0.0,1.0,0.0,0.0,Neutral
"白人就一定要配个黑老婆,日,好莱坞成天搞这些政治正确的傻逼玩意,不看了","白人就一定要配个黑老婆,日,好莱坞成天搞这些政治正确的傻逼玩意,不看了",0.0,1.0,0.0,0.0,Neutral
a lumpy boring film. DiCaprio works hard to keep it real. even Del Toro's presence can't lift this a...,"a lumpy boring film. DiCaprio works hard to keep it real. even Del Toro's presence can't lift this above the counter. i suppose it belongs to Penn's gruesome Lockjaw - which isn't the point, I assume? the comedy aspect of the film mire's the story's meaning - whatever that is?
and it's nods to Scorsese & probably Kubrick, only make this bloated long-winder dull, uninspiring and not particularly original or interesting.",0.113,0.819,0.069,-0.3559,Negative
Raz obejrzeć i zapomnieć.,Raz obejrzeć i zapomnieć.,0.0,1.0,0.0,0.0,Neutral
“One Battle After Another” is a decent movie it’s definitely worth a watch but I wouldn’t watch it a...,“One Battle After Another” is a decent movie it’s definitely worth a watch but I wouldn’t watch it again. The Sean Pen character Lockjaw is pretty absurd like a cartoon character almost. The Christmas Cult was absurd too. The only character I liked was Benicio Del Toro’s character. I also hope this movie doesn’t inspire a bunch of younger rebellious inclined girls to ruin their lives.,0.11,0.627,0.263,0.928,Positive
One Battle After Another is nothing more than a bloated piece of liberal propaganda masquerading as ...,"One Battle After Another is nothing more than a bloated piece of liberal propaganda masquerading as high art, pushing a dangerous narrative that romanticizes left-wing violence and portrays conservatives as cartoonish fascist villains. Paul Thomas Anderson crafts a fever dream where washed-up radicals bombing buildings and resisting immigration enforcement are depicted as sympathetic underdogs fighting a white supremacist dystopia, ignoring the real-world consequences of such extremism. With Leonardo DiCaprio's sweaty, incompetent protagonist shouting revolutionary slogans while enabling chaos, the film feels like an apologia for Antifa-style terrorism, especially ill-timed amid recent political violence—it's irresponsible and could inspire more division rather than entertain. Skip this three-hour preach fest; it's not satire, it's insidious Hollywood bias at its worst, glorifying losers who waste lives on misguided ""resistance"" instead of productive citizenship. 0/10—save your money for films that don't hate half the country.",0.268,0.604,0.129,-0.9808,Negative
Looks dumb,Looks dumb,0.767,0.233,0.0,-0.5106,Negative
This movie was SOOO good. Had me on the edge of my seat the entire time!!!,This movie was SOOO good. Had me on the edge of my seat the entire time!!!,0.0,0.799,0.201,0.5826,Positive
Man yk what I gotta say this film is the best fricking film of 2025,Man yk what I gotta say this film is the best fricking film of 2025,0.0,0.769,0.231,0.6369,Positive
"I just watched it on HBO. It's about 2 hrs and 45 minutes long. I thought ""I'll probably watch it in...","I just watched it on HBO. It's about 2 hrs and 45 minutes long. I thought ""I'll probably watch it in pieces"" since it's so long. Man, I watched that mf'er without so much as a pause. Just locked in. Bravo, everyone involved.",0.0,1.0,0.0,0.0,Neutral
This movie give liberal th failed idea they can do what they want with no consequences,This movie give liberal th failed idea they can do what they want with no consequences,0.278,0.657,0.066,-0.6369,Negative
"I have never seen such a bad movie, it's even worse than a B movie😂😂","I have never seen such a bad movie, it's even worse than a B movie😂😂",0.281,0.514,0.205,-0.2023,Negative
✔️🌐😎,✔️🌐😎,0.0,0.75,0.25,0.4588,Positive
"Pro illegal immigration, girl power, rebellion, resistance, white male deconstruction and outright s...","Pro illegal immigration, girl power, rebellion, resistance, white male deconstruction and outright social engineering.
dont waste your time with this propaganda garbage",0.266,0.65,0.084,-0.6147,Negative
Why did so many of yall just assume this was an original film? It’s not. It’s an adaption of the boo...,Why did so many of yall just assume this was an original film? It’s not. It’s an adaption of the book Vineland.🙄,0.0,0.916,0.084,0.3182,Positive
loved this movie,loved this movie,0.0,0.339,0.661,0.5994,Positive
Predictable Boring and about 40 minutes too long. Another over hyped flick.,Predictable Boring and about 40 minutes too long. Another over hyped flick.,0.173,0.827,0.0,-0.3182,Negative
The film score is excellent.,The film score is excellent.,0.0,0.519,0.481,0.5719,Positive
This was a HORRIBLE movie!!!,This was a HORRIBLE movie!!!,0.561,0.439,0.0,-0.7277,Negative
"ITS A MASTERPIECE! 10/10. go watch, you won’t regret","ITS A MASTERPIECE! 10/10. go watch, you won’t regret",0.188,0.469,0.343,0.5147,Positive
The positive reviews have got to be shills.  The only thing entertaining about this film is how spec...,"The positive reviews have got to be shills.  The only thing entertaining about this film is how spectacularly bad it is.  Badly written, badly acted, zero plot.  I wondered if it was intended to be a spoof.",0.201,0.664,0.135,-0.4939,Negative
Bad movie. Waste of time.,Bad movie. Waste of time.,0.677,0.323,0.0,-0.743,Negative
"This movie sucked 😂😂. The music is loud, never stops and is awful. The acting is decent but over all...","This movie sucked 😂😂. The music is loud, never stops and is awful. The acting is decent but over all nope, won’t ever watch it again and don’t recommend it.",0.146,0.657,0.197,0.5223,Positive
"After the Golden Globes, I wanted to see what the hype was about. 

I do think this is a Best Pictur...","After the Golden Globes, I wanted to see what the hype was about. 

I do think this is a Best Picture contender but Sean Penn should get Best Supporting Actor for Lockjaw. No doubt!

 Teyana could be nominated.",0.0,0.667,0.333,0.9473,Positive
This movie is actively supporting ANTIFA terrorism F U Leonardo,This movie is actively supporting ANTIFA terrorism F U Leonardo,0.274,0.417,0.31,-0.1027,Negative
Why is there a black person sign languaging to me on direct tv in the corner when I try to watch thi...,Why is there a black person sign languaging to me on direct tv in the corner when I try to watch this movie. I’m not even joking,0.06,0.94,0.0,-0.1695,Negative
What an epic flick! Just wrapped it up—those performances were inspired by some muse somewhere. That...,"What an epic flick! Just wrapped it up—those performances were inspired by some muse somewhere. That closing track, ""American Girl,"" hit me right in the feels and left me a little misty-eyed with pure nostalgia. Ended on such a perfect, bittersweet high.",0.027,0.821,0.151,0.784,Positive
This movie will just encourage stupid people to make the biggest mistake of their stupid lives.,This movie will just encourage stupid people to make the biggest mistake of their stupid lives.,0.376,0.49,0.135,-0.7096,Negative
What was that?,What was that?,0.0,1.0,0.0,0.0,Neutral
Of course this comment section is an echo chamber for a horrific and horrible film that plays into t...,"Of course this comment section is an echo chamber for a horrific and horrible film that plays into the crumbling, historically ignorant ethos (pathos?) of our modern age. Regardless of ""good"" or ""bad"" acting, this movie is lionized as a bastion of and a pernicious nod to a romanticized, ridiculous iteration of ""revolutionaries"" and the hypostatic union of their raunchy, violent radicalism and haunting hypocrisy. One of the ""best films"" of 2025? Only if your functioning five senses are short-circuited by a creeping criminalism that coruscates across the dark, dismal regressive sky.",0.225,0.682,0.094,-0.9465,Negative
Talk about Hollyweird doing everything possible to activate the weirdos in to doing violence. GG.,Talk about Hollyweird doing everything possible to activate the weirdos in to doing violence. GG.,0.323,0.677,0.0,-0.7351,Negative
Such a good director and awesome cast and everything.  Too bad the movie is woke.  What a waste.  PT...,Such a good director and awesome cast and everything.  Too bad the movie is woke.  What a waste.  PT Anderson should deport himself.,0.195,0.588,0.217,0.1779,Positive
Best movie of the year,Best movie of the year,0.0,0.488,0.512,0.6369,Positive
😱🤬😳🙄...😴,😱🤬😳🙄...😴,0.279,0.721,0.0,-0.7003,Negative
Super racist white people vs super racist black people and their empathy minions.  Funny AF,Super racist white people vs super racist black people and their empathy minions.  Funny AF,0.279,0.348,0.373,0.4019,Positive
A truly revolting film with nothing to recommend it whatsoever,A truly revolting film with nothing to recommend it whatsoever,0.162,0.615,0.223,0.1999,Positive
Gosh Sinners was so good and this movie came out.,Gosh Sinners was so good and this movie came out.,0.0,0.706,0.294,0.5777,Positive
they are lying this is so bad,they are lying this is so bad,0.612,0.388,0.0,-0.8356,Negative
Some people would really glaze a movie just bacause a big director made it but the reality is the mo...,Some people would really glaze a movie just bacause a big director made it but the reality is the movie is an absolute flop. Except for being interesting to see what comes next it absolutely sucks!,0.162,0.756,0.081,-0.5471,Negative
Watched the movie and I must say this was the first time I hated watching Leonardo Dicaprio on my sc...,"Watched the movie and I must say this was the first time I hated watching Leonardo Dicaprio on my screen, I detest his character",0.154,0.846,0.0,-0.6369,Negative
"watched the whole thing, possibly the dumbest movie ive ever watched, its so bad, i cant stop tellin...","watched the whole thing, possibly the dumbest movie ive ever watched, its so bad, i cant stop telling people about it, maybe that was the point.",0.238,0.704,0.058,-0.7847,Negative
Amazing Movie one of the best movie.  That I have watch in a long time,Amazing Movie one of the best movie.  That I have watch in a long time,0.0,0.619,0.381,0.8402,Positive
"A brilliant film, go see it!","A brilliant film, go see it!",0.0,0.55,0.45,0.6239,Positive
"I did not expect to like this movie at all, which is why I think I loved it even more. It was so sur...","I did not expect to like this movie at all, which is why I think I loved it even more. It was so surprising and just so funny without even trying to be funny. Leo is absolutely fantastic in this!",0.039,0.635,0.326,0.9465,Positive
Glad I didn't see this dumpster fire 🔥 the fact that they dehumanized Teyana Taylor over sexualizing...,Glad I didn't see this dumpster fire 🔥 the fact that they dehumanized Teyana Taylor over sexualizing her character just so white men in the movie can lust after her is disgusting just like they did Halle Berry in Monster's Ball,0.245,0.649,0.105,-0.7469,Negative
Oh yay! A 3 hour movie where Hollywood lectures us about institutional racism and America is really ...,"Oh yay! A 3 hour movie where Hollywood lectures us about institutional racism and America is really a horrible authoritarian racist country? 
And they said Hollywood can’t change😂",0.291,0.559,0.149,-0.7827,Negative
Is there someone who knows where to watch this mobie? Or free link,Is there someone who knows where to watch this mobie? Or free link,0.0,0.784,0.216,0.5106,Positive
What is this slop,What is this slop,0.0,1.0,0.0,0.0,Neutral
"Ah, splendid the movie that shows how cowardly & conniving & full of deceit the average libtard is.
...","Ah, splendid the movie that shows how cowardly & conniving & full of deceit the average libtard is.
Keep making movies that shows everyone how insane you all truly are.

This living witness of God finds it rather amusing to see you suffer unendingly.",0.199,0.608,0.193,-0.1027,Negative
I wanted to like this film but it honestly sucked…I love Benecio Del Toro and Leonardo DiCaprio but ...,I wanted to like this film but it honestly sucked…I love Benecio Del Toro and Leonardo DiCaprio but this really fell short of the mark for me…way too long and the propaganda was ridiculous…we watch movies to be entertained so stick to that,0.045,0.683,0.272,0.9274,Positive
More of the same BS,More of the same BS,0.0,1.0,0.0,0.0,Neutral
Imagine thinking Warner Bros offers rebellious ideas and that you're a rebel for agreeing with a 100...,Imagine thinking Warner Bros offers rebellious ideas and that you're a rebel for agreeing with a 100 billion dollar company that has the greenlight to openly and freely produce films like this. WB has been political propaganda since WW2. Imagine thinking you're a rebel for wanting open borders when it's already being forced upon all of Europe. Political tools lol.,0.144,0.708,0.147,0.296,Positive
"There aren't anymore American actors loyal to the USA.  After watching this, I now know why the yout...","There aren't anymore American actors loyal to the USA.  After watching this, I now know why the youth of America has become toxic and confused.",0.081,0.81,0.109,0.2023,Positive
Great acting by all .  I just didn’t enjoy the movie story line .😮,Great acting by all .  I just didn’t enjoy the movie story line .😮,0.0,0.687,0.313,0.8074,Positive
Sean Penn- I would have watched it if not for him. Just adores himself,Sean Penn- I would have watched it if not for him. Just adores himself,0.0,0.833,0.167,0.3818,Positive
"Finally, an original film worth watching!","Finally, an original film worth watching!",0.0,0.471,0.529,0.5411,Positive
I watched every movie with DiCaprio and I enjoyed it. Curious about this one,I watched every movie with DiCaprio and I enjoyed it. Curious about this one,0.0,0.682,0.318,0.6808,Positive
Just watched it. I enjoyed it. This trailer failed to draw me to it tho. It still does. That’s a fir...,Just watched it. I enjoyed it. This trailer failed to draw me to it tho. It still does. That’s a first.,0.129,0.742,0.129,0.0,Neutral
Best movie of 2025… Leo is having another Oscars for his excellent acting 🙌,Best movie of 2025… Leo is having another Oscars for his excellent acting 🙌,0.0,0.622,0.378,0.836,Positive
One really as in 9 film,One really as in 9 film,0.0,1.0,0.0,0.0,Neutral
Paul Thomas Anderson - SOLD √,Paul Thomas Anderson - SOLD √,0.0,1.0,0.0,0.0,Neutral
Boring.,Boring.,1.0,0.0,0.0,-0.3182,Negative
Leonardo Di Caprio such a great actor .,Leonardo Di Caprio such a great actor .,0.0,0.631,0.369,0.6249,Positive
No thanks. Good it flopped.,No thanks. Good it flopped.,0.616,0.384,0.0,-0.5875,Negative
Propaganda nonsense  but fun to watch.,Propaganda nonsense  but fun to watch.,0.31,0.278,0.412,0.4767,Positive
Lib slop,Lib slop,0.0,1.0,0.0,0.0,Neutral
Didn't know that Lawrence Fishbone was Pregnant of Di Caprio 😮,Didn't know that Lawrence Fishbone was Pregnant of Di Caprio 😮,0.0,1.0,0.0,0.0,Neutral
This movie is hilarious! Don't miss it,This movie is hilarious! Don't miss it,0.0,0.53,0.47,0.5324,Positive
Terrible movie. The score is hot dog poop.,Terrible movie. The score is hot dog poop.,0.307,0.693,0.0,-0.4767,Negative
Movie is total garbage,Movie is total garbage,0.0,1.0,0.0,0.0,Neutral
Benicio Del Toro just gets better and better.  He is absolutely incredible in this movie.  DiCaprio ...,"Benicio Del Toro just gets better and better.  He is absolutely incredible in this movie.  DiCaprio is outstanding but  
Del toro  is on another level",0.0,0.775,0.225,0.6597,Positive
They all need to do more movies 🎥 great 👍🏼,They all need to do more movies 🎥 great 👍🏼,0.0,0.773,0.227,0.6249,Positive
⭐️⭐️⭐️⭐️⭐️😊,⭐️⭐️⭐️⭐️⭐️😊,0.0,0.571,0.429,0.7184,Positive
💎💎💎💎💎,💎💎💎💎💎,0.0,1.0,0.0,0.0,Neutral
💜💜💜💜💜,💜💜💜💜💜,0.0,0.192,0.808,0.9719,Positive
"It looks stupid, and the music is obnoxious.","It looks stupid, and the music is obnoxious.",0.516,0.484,0.0,-0.7506,Negative
GARBAGE,GARBAGE,0.0,1.0,0.0,0.0,Neutral
"I was excited to see this, but outside of a few good moments, this movie was a huge letdown. Wes And...","I was excited to see this, but outside of a few good moments, this movie was a huge letdown. Wes Anderson's characters are almost complete fiction, yet still more believable than any of the characters in this film. Wait for the bargain bin. 👎👎",0.0,0.801,0.199,0.8658,Positive
💪Chuco Strong yall! They filmed some of the scenes in my hood!,💪Chuco Strong yall! They filmed some of the scenes in my hood!,0.0,0.755,0.245,0.5972,Positive
Brilliant. . .Sean Penn killing it as always,Brilliant. . .Sean Penn killing it as always,0.31,0.423,0.268,-0.1531,Negative
Sean Penn - the role of a lifetime,Sean Penn - the role of a lifetime,0.0,1.0,0.0,0.0,Neutral
This movie absolutely sucked! I was so excited to watch it and then after about 30 minutes or so I j...,"This movie absolutely sucked! I was so excited to watch it and then after about 30 minutes or so I just got up and walked out out of the theater, and walk across the street to the IHOP for some crêpes. Truthfully, the crêpes what are the best part of the night and a way better financial decision than paying to watch that movie. Absolutely the worst movie I’ve ever seen Leonardo DiCaprio in.🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️",0.066,0.82,0.115,0.6944,Positive
Tht movie was horrible I didn’t like it one bit . Total madness lol,Tht movie was horrible I didn’t like it one bit . Total madness lol,0.301,0.449,0.25,-0.2766,Negative
"I love DiCaprio,seen all his movies but I feel this movie is overrated","I love DiCaprio,seen all his movies but I feel this movie is overrated",0.0,0.822,0.178,0.3818,Positive
It sucked😂,It sucked😂,0.386,0.315,0.299,-0.0258,Neutral
This was a disappointment,This was a disappointment,0.524,0.476,0.0,-0.5106,Negative
😂😂😂😂 this antifa,😂😂😂😂 this antifa,0.207,0.38,0.413,0.891,Positive
Looks dumb,Looks dumb,0.767,0.233,0.0,-0.5106,Negative
Yeeeee hahaha ol boys got dat GOLDEN GLOBE 🌎,Yeeeee hahaha ol boys got dat GOLDEN GLOBE 🌎,0.0,0.735,0.265,0.5574,Positive
